Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Regula Zahno-Jungo,,,17:44.23,17:51.44,,18:02.70,,18:27.69,,,,,,,
Giuseppina Remy De Vito,,,,,21:03.59,,,,,,,,,,
Alina Stieger,,,,,,,,,,22:26.01,,,,,
Nicole Kubli,18:20.97,,18:44.33,18:43.34,,,,,,,,,,,
Antje Pfüller,,,,,,,,,,,,,,,16:29.02
Giulia Mazzotti,,,,18:52.65,,,,,,,,,,,
Noémie Fragnière,20:22.99,,20:37.39,21:46.54,22:05.83,,,21:51.38,,,,,,,20:23.40
Christiane Berset Nuoffer,,20:53.77,,20:39.58,21:04.14,,,,,,,,,,
Rahel Rüedlinger,,,18:31.13,18:48.16,18:09.73,,,,,,,,,,
Gaelle Brack,,,,,,,19:41.60,,,,,,,,
Silya Lüscher,,,,,,,,,,,,20:28.16,,,
Nathalie Philipp,,,,,,,18:51.67,18:59.41,18:40.44,,,,18:21.58,,18:57.11
Selina Hauser,,19:45.46,20:19.43,,,,,,,,,,,,
Helena Erni,,,21:17.94,,,,,,,,,,,,
Rachele Botti,,,,,,,,,,,,,18:51.78,,
Cathia Naomi Alicia Schär,,,,,,,,,,,,,,,17:59.18m
Molly Renfer,,,,,,,,,,16:25.83,,,,,
Inge Riedo,,,20:02.34,,,,,,,,,,,,
Astrid Leutert,,,16:40.58,16:50.78,,16:37.18,16:09.51,,,17:04.35,,,,,
Jana Waldmeyer,,20:22.96,,,,,,,,,,,,,
Delphine Fragnière,23:06.63,,23:50.52,,,,,,,,,,,,
Manuela Maffongelli,,,,,,18:28.66,,,,,,,,,
Ramona Frick,,,,,,,20:44.91,,,,,,,,
Andrea Büchel-Dürrenberger,18:30.03,17:52.01,,,,,,,,,,,,,
Livia Morgenthaler,,,,17:13.13,16:47.47,16:15.32,16:08.39,,16:31.32,,,,,,
Simone Zwinggi,,,,,,,,19:31.12,,,,,,,
Alexia Mottier,,,,,,,,,,,,,,,19:53.96
Pascale Füglistaler,,,,,,,,,18:21.10,,,,,,
Virginie Schumacher,,,,,,,,,19:37.07,,,,,,
Daniela Zeman,18:07.71,,,,,,,,,,,,,,
Lina Miglar,19:20.13,,18:09.10,18:40.82,18:45.59,18:13.54,18:09.36,18:29.68,,,,17:26.53,,,
Simone Michlig,19:46.65,20:06.34,21:36.14,,19:41.88,,,,,18:58.00,,,,,
Christine Wyrsch,,,18:20.60mM,,,,,,,,,,,,
Vanessa Schmid,,,,,,,,,21:37.05,,,,,,
Teres Heimlicher,,,,,,,,,,,19:22.29,,,,
Alexandra Schaller,,,,18:21.36,,,,,,,,,,,
Tamara Winkler,,,,,16:24.03,,,,,,,,,,
Lea Stettler,,,,,,,,,,,19:57.00,,,,
Martina Süess,,,,,,,,,,,,,19:20.65,,
Stéphanie Monney,,,,19:19.27,19:41.52,,,,,,,,,,
Rahel Meili,,,,,,,,,,,,18:16.80,,,17:53.17
Sarah Lambiel,20:45.62,,19:42.01,19:11.42,,,,,,,,,,,
Yvonne Nussbaumer,,,,,19:35.21,19:47.04,,,,,,,,,
Awilo Ochieng-Pernet,,23:20.82,,,,,,,,,,,,,
Ruth Briggs,17:40.36,18:02.80,,,,,,,,,,,,,
Selina Baumberger,21:09.52,,,,,,,,,,,,,,
Conny Berchtold,,,,,,,,,18:03.54,17:58.17,,,,,
Martina Tresch,,,18:33.36,17:03.59,16:33.31,16:47.62,,16:58.82,,17:22.57,,16:28.58,16:31.01,,
Séline Helfenberger,,,,,,20:13.94,20:00.29,,,,,,,,
Anja Koller,,,,,,,,,18:56.06,18:25.51,,,19:29.14,,
Gina Gaugler,,,,,,18:46.08,,,,,,,,,
Valerie Widmer,,,,,,,,,,,18:38.94,,,,
Miriam Schneuwly,,,,,,,18:14.23,17:28.81,,,,,,,
Lydia Hayenga,,,,,,,,,,,,,,,20:28.26
Anita Nika,,,,19:31.04,19:55.93,,,,,,,,,,
Olivia Abegglen,,,,,,19:49.01,,,,,,,,,
Tanja Rauber,,,,,,21:25.94,21:22.10,,,,,,,,
Fabienne Schlumpf,,,,18:15.68,,16:48.89,16:30.23,16:01.52,15:51.06,15:56.09,16:27.38,15:47.29,15:23.44,,15:10.31
Nicole Egger,,,,,,,,,,,,17:00.56,,,16:24.55
Melanie Spori,,,,,,,,,,19:29.52,20:28.52,,,,
Romane Wolhauser,,,,,,,,,,,,,,,17:39.76m
Stefanie Rusch,,,,,,,19:26.61,,,,,,,,
Daniela Thoma,,,,18:37.91,,,,,,,,,,,
Laëtitia Froidevaux,,,,,21:29.73,,,,,,,,,,
Fiona Héritier,,,,,,,,,,,,18:04.56,17:33.18,,18:24.13
Ella Jayne Revitt,,,,,,,,,,18:33.13,18:21.89,17:22.57,16:53.83,,
Louise Grounauer,,,,,,,,,,,,,19:48.42,,
Jeanne Wildisen,,,,,,,,,,,,17:57.95,17:26.69,,18:09.15
Patricia Morceli,,,,,,,16:18.87,,,16:50.25,,,,,
Andrea Marquart,,,,,,,,,18:57.02,,,,,,
Alicia Durrer,,,,,,,,,20:40.39,,,,,,
Mirjam Niederberger,,,,,,17:46.50m,,,,,,,,,
Arlette Meier-Hunger,,,,,,,,,,17:44.22,18:03.22,18:59.22,,,
Ruth Helfenstein,,29:58.94,30:23.65,30:46.75,,31:41.99,,,,,43:29.32,,,,
Chiara Scherrer,,,,,,,,,,,,17:02.55,,,15:44.72
Ségolène Métral,,,18:47.91,,18:50.39,,,,,,,,,,
Ramona Germann,,,,,,,,,,,,20:56.73,,,
Seraina Badertscher,17:58.76,,18:00.06,,,,,,,,,,,,
Karine Joye,,,19:55.48,19:45.91,,,,,,,,,,,
Mona Stockhecke,,,,,,,17:29.07,,,,,,,,
Manuela Falconi,,,,,,,,17:55.93,,,,,,,
Lisa Gurtner,,,,,,,,22:32.50,,,,,,,
Simone Ehrsam,,,,19:28.63,,,,,,,,,,,
Anja Ledergerber,,,,,,20:55.84,,,,,,,,,
Aita Ammann,,,,,,,,,,,,,17:10.22,,
Jana van Lent,,,,,,,,,,,,,,,17:17.01
Ramona Betticher,,,,25:33.41,,,,,,,,,,,
Nadja Kehrle,,,,,,,,,,,,19:02.86,19:29.92,,
Céline Aebi,,,,,,,,,18:21.63,18:26.60,17:53.33,18:06.53,17:29.28,,17:17.27
Brigitte Mühlemann,,,,18:17.37,,,,,,,,,,,
Melina Frei,,,,,18:05.70,18:13.15,,18:28.52,,,,,,,17:25.15
Jasmin Hangartner,,,,,18:27.06,,,,,,,,,,
Marina Brülhart,,,,,20:40.19,19:22.40,,,,,,,,,
Brigitta Mathys,,,,,,,18:23.15,,,,,,,,
Loane Monge,,,,,,,,,21:40.49,20:27.36,21:19.99,20:43.81,,,
Selina Lerch,,,,,,,,,,22:44.44,,,,,
Géraldine Fournier,,,,,,,,,,,,18:55.96,20:20.96,,
Marielle Progin,,,,,,,,,,,,,,,22:28.21
Céline Monnard,,,,,,,,,18:27.80,18:11.81,18:52.91,18:09.59,17:53.60,,
Regula Achermann,,,,,,19:20.28,,,,,,,,,
Yvonne Kägi,,,,18:10.25,16:55.97,18:07.90,17:26.53,17:20.76,,17:27.57,17:11.31,17:07.50,,,
Sarah Donzallaz,,,22:26.37,,,,,,,,,,,,
Magali Di Marco,,,,,,,,17:43.60,,,,,,,
Verena Cerna,,,,,,,,,,,,,18:17.81,,
Caroline Steiner,,,,,,,,18:56.51,,,,,,,
Céline Hauert,,,18:12.75,17:34.88,17:24.10,17:09.73,,,,,,,,,
Mélanie Gapany,,,23:03.12,22:56.47,22:52.08,22:07.58,,,,,,,,,
Cécile Meer,21:40.16,,,,,,,,,,,,,,
Sabine Hauswirth,,,18:24.37,17:50.06,,,,,,,,,,,
Anne-Catherine Vouilloz,,,,,,,,,,20:47.60,,,,,
Ursula Spielmann-Jeitziner,16:37.62,,,,,,,,,,,,,,
Muriel Forster,,,,,,,19:43.00,18:51.68,,18:50.85,,,,,
Chantal Matzinger,,,,20:26.25,19:09.44,19:04.10,18:42.64,18:23.39,18:58.99,19:09.43,,,19:08.42,,
Susanne Rüegger,,,,18:23.74,17:36.55,17:05.47,17:32.40,,,17:27.54,16:58.82,,,,
Jasmin Widmer,18:18.57,17:46.81,17:21.98,,17:18.92,,17:15.34,,16:25.40,16:35.30,,,17:36.01,,
Martina Strähl,,,,,16:30.91,16:36.71,17:34.46,16:50.85,,,16:32.42,,,,16:43.77
Alisha Brechbühl,,,,,,,,,,,,,,,18:11.22
Vera Notz-Umberg,16:06.15,,,,,,,,,,,,,,
Marion Beyl,,,,,,,,,,,,21:50.41,,,
Helena Aicher,,19:56.09,,,,,,,,,,,,,
Sabine Fischer,,,15:35.61,15:55.95,15:19.80,15:24.49,15:36.55,16:08.85,,,,,,,
Lisa Berger,,,,,,,,,,,,,,,17:36.51
Corinne Grieder,,,,,20:13.08,,,,,,,,,,
Leonie Saurer,,,,,,,,,,,,,,,17:15.74
Nicola Spirig,,,,16:59.35,,,16:14.33,,15:54.00,,,,,,16:46.73
Olivia Keiser,,,,,,,,,,,,,,,17:42.10
Anaïs Gutknecht,,,,,,,,,,19:04.41,,,,,
Deborah Büttel,17:21.05,16:57.56,17:18.28,,16:54.65,,17:15.46,,,,,,,,
Priska Auf der Maur,,,17:46.22,,16:51.65,16:40.83,17:02.33,16:42.11,17:23.13,,,,,,16:49.34
Ines Brodmann,,,18:10.98,17:51.60,19:01.53,,,,,,,,,,
Selina Ummel,,,,,,,,,,,,,,,17:29.72
Estelle Oberson,17:26.19,,18:02.79,,17:03.60,,,,,,,,,,
Jasmin Kolly,,,,23:08.12,,,,,,,,,,,
Monika Fürholz,,,,,,,17:39.97,,,,,,,,
Flavia Schnyder,,,,,,,,,,,20:02.38,,,,
Jasmin Marty,,,,,,,18:36.31,,,,,,,,
Daniela Klaus,,,,24:51.00,,,,,,,,,,,
Lea Müller,,,18:21.40,,,,,,,,,,,,
Emma Thibert,,,,,,,,,,,,,,,18:52.94
Andrea Meier,,,,,,18:14.10m,18:43.59,,18:23.11,18:38.03,,,16:56.74,,16:53.36
Alissa König,,,,,,,,,,,,,,,17:08.93
Alina Pochon,,,,,,,19:58.38,19:37.18,19:45.53,20:07.42,18:35.74,,,,
Maja Neuenschwander,17:05.16,,,,16:57.83,,,16:48.50,,,,,,,
Lara Alemanni,,,,,,,,,,,17:10.66,,,,
Monique Zimmer,,18:16.73,,,,,,,,,,,,,
Natacha Séverine Savioz,,,,,,,19:19.93,,,,,,,,
Shelly Schenk,,,,,,,,,,,19:34.83,,,,
Raja Aellig-Urner,20:06.28,,,,,,,,,,,,,,
Nisa Camelo,,,,,,,,,,,,,18:30.43,,18:52.47
Michelle Schaub,,,,,,,,,,,,,,,17:40.28m
Mathilde Robert,,,22:46.80,,,,,,,,,,,,
Corinne Velthuijs,,,18:40.30,,,,,,,,,,,,
Livia Hofer,,,,,,,18:15.65,18:22.61,18:24.40,18:43.65,,,,,
Judith Wyder,,,,,19:02.08,,,,,,,,,,
Olivia Rouiller,,,,,,,,,,,,,,,23:03.30
Julia Stokar,,,,19:06.57,,,,,,,,,,,
Monika Oberlin,,18:04.73,18:44.17mM,,17:00.78,16:50.33,17:38.11,,,,,,,,
Anais Röhler,,,,,,,,,,,,,,,18:56.38m
Birtukan Bouele,,,,,,,,,,,26:46.36,,,,
Arianna Sclabas,,,,,,,,18:58.15,,,,,,,
Stefanie Rothenbühler,,21:51.00,,,,,,,,,,,,,
Simone Dietiker,,,18:38.55,,,,,,,,,,,,
Sabine Krähenbühl,,,20:42.84,20:12.22,20:59.00,,,,,,,,,,
Daniela Aeschbacher,,,,,,,,,,,18:05.22,,,,
Fiona Steffen,,,,,,,,,,19:38.68,,,,,
Lisa Schneeberger,,,,,,,,,18:41.28,18:57.52,,,,,
Sandrine Müller,,,,,,,,,,18:39.92,,,,,
Sarah Thierstein,20:57.09,20:53.47,,,,,,,,,,,,,
Sibylle Dürrenmatt,,,,,,,,17:26.19,,,,,,,
Claudia Blanc,,21:42.19,,,,,,,,,,,,,
Livia Wespe,,,,,,,,,,,,,17:06.92,,17:07.75
Ruth Gavin,18:15.11,,,,,,,,,,,,,,
Cléa Formaz,,,,,17:09.28,,,17:16.19,,,,,,,
Renate Wyss,,17:08.13,,17:05.60,17:06.86,17:44.35,,,,,,,,,
Morgane Crausaz,,,,,,,19:32.62,18:39.68,18:31.05,18:55.57,19:05.18,,,,
Jolanda Hurni,,,,,,,,,,,21:35.89,,,,
Brigitte Schoch,18:09.32,18:11.35,18:26.82,18:39.09,,,19:17.86,,,,,,,,
Evelyne Dietschi,,,,,,,18:14.99,18:00.73,16:58.78,16:37.48,17:30.89,17:07.26,17:20.85,,
Paola Stampanoni,18:58.83,18:49.48,19:35.05,,,,,,,,,,,,
Christine Duc,,22:13.15,,,,,,,,,,,,,
Christine Müller,,,,,,18:42.90m,,,,17:35.24,17:24.73,17:31.35,17:04.90,,
Jeannette Bragagnolo,,,19:23.28,19:05.24,19:04.18,18:45.04,18:08.79,17:39.04,18:15.99,17:49.69,,,,,19:49.19
Daria Wittwer,,,,,,,23:42.23,,,,,,,,
Aline Piccand,,25:09.76,,,22:22.91,,,,,,,,,,
Anina Stämpfli,,,17:31.90,17:33.96,,,,,,,,,,,
Flavia Stutz,,,,,,,,,17:26.17,16:51.43,16:40.58,17:05.12,17:09.42,,17:35.53
Nicole Donzallaz,,,,19:06.31,19:37.23,19:16.42,,,,,,,,,
Lisa Gubler,,,,,,,,,18:04.28,18:07.40,,,,,
Fiammetta Troxler,,,,,,,,,,,17:35.12,17:18.46,16:56.11,,
Lea Schweickhardt,21:54.28,,,,,,,,,,,,,,
Sandra Annen-Lamard,,,,,,,,18:45.34,,,,,,,
Carmen Richard,,,,,,,,,,19:44.07,,,,,
Laura Hagen,,,,28:19.14,,,,,,,,,,,
Livia Gross,,,,,,,,,,,,,,,18:30.31
Christelle Valloton,,,19:47.78,,18:45.38,,,,,,,,,,
Josianne Lauber,17:27.47,17:46.38,,,,,,,,,,,,,
