Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Günther Weidlinger,14:06.25,,,,,,,,,,,,,,
Thierry Dutoit,16:10.84,,,,,,,,,,,,,,
Walter Eichelberger,20:01.69,20:05.48,,,,,,,,,,,,,
Francesco Cristiano,,17:19.49,,,,,,,,,,,,,
Toto Notari,,,,17:22.26,18:18.40,,,,,,,,,17:17.13,
Guillaume Lupi,,,,,,,16:57.78,,,,,,,,
Cedric Schöpfer,,,,,,,,,18:34.78,,,,,,
Michele Giaimo,19:02.58,,,,,,,,,,,,,,
Marco Maffongelli,16:13.86,15:49.84,15:37.72,15:09.28,15:42.46,15:08.16,,16:41.16,,,,,,,
Daniel Fäh,17:53.40,,,,,,,,,,,,,,
Michele Marchetti,,,,,,,,,,,,,,18:42.03,
Arnold Mächler,,15:31.74,16:16.29,,,,,,,,,,,,
Christophe Chabard,,,,,,15:24.85,,,,,,,,,
Samuel Kolb,,,,,,17:58.74,,16:58.20,,16:14.77,,,,,
Julien Andrey,,15:42.50,,,,,,,,,,,,,
Manuel Walss,,,,,,,,,,,,,15:00.80,,
Ueli Koch,14:16.99,14:21.38,14:30.32,14:29.41,,,,,,,,,,,
Joseph Bago,,16:55.20,16:01.16,,,,,,,,,,,,
Valentin Vouillamoz,,,,,,17:08.49,17:17.74,,,,,,,,
Aron Gebrezgabiher,,,,,,,,,,,,,,19:14.44,
Johan Adatte,,,22:28.47,,,,,,,,,,,,
Stéphane Audriaz,,,,,,,,,,17:48.03,,,,,
Johannes Morgenthaler,15:05.90,14:37.71,14:25.91,14:37.60,14:41.69,14:32.85,,,,,,,,,
Roger Kliem,16:04.18,,,,,,,,,,,,,,
Markus Pfister,16:57.81,16:37.51,,17:58.86,,,,,,,,,,,
Beat Berger,,,17:26.10,16:52.01,,,,,,,,,,,
Lukas Mayer,22:12.83,21:47.40,,,,,,,,,,,,,
Patrik Gentsch,,15:23.74,,,,,,,,,,,,,
Philipp Fässler,16:50.94,,,,,,,,,,,,,,
Stefan Mortier,,,,,,17:33.89,17:21.69,,,,,,,,
Christian Puricelli,,,,16:42.75,,,,,,,,,,,
Nils Oberli,,,,,,,,,,,,23:17.57,,,
Andreas Rüedlinger,,,,,,,,15:32.52,,,,,,,
Jakob Mayer,,16:23.90,,,,,,,,,,,,,
Nick Gebert,,,,,,,,,,,,,,15:05.58,
Urs Hans,,,,18:27.28,,,,,,,,,,,
Gil Meyer,18:07.83,,,,,,,,,,,,,,
Flavio Ranzoni,,,,,,,,18:11.32,,16:18.84,17:38.71,,,,
Giuseppe Trimarchi,,,,,,17:33.54,,,,,,,,,
Luca Noti,,,,,,,,,15:02.89,14:39.44,14:39.40,14:02.25,14:18.09,13:55.65,
Murray William Scown,,,18:11.95,,,,,,,,,,,,
Matthias Schönenberger,,,,,,,16:02.68,,,,,,,,
Dimitri Sallin,17:58.44,,,,,,,,,,,,,,
Stephan Lowiner,,,,15:19.57,,,,,,,,,,,
Ivo Drescher,,,,,,,,,,16:29.71,,,,,
Jürg Bühler,17:49.48,,,,,,,,,,,,,,
Jérôme Epiney,,,,,,,,,,15:53.01,,,,,
Jannis Schönleber,,,,,,,,,,,,,,15:08.94,
Luzius Bochsler,,16:21.82,16:06.97,,,,,,,,,,,,
Miguel Da Silva,,,,,,,,,,16:46.14,,15:57.70,,,
Fedi Jemli,,,15:38.64,,,,,,,,,,,,
Lukas Stähli,,,,14:48.57,14:42.50,,,,,,,,,,
Paolo Graifemberg,,,,,,,21:06.89,,,,,,,22:27.62,
Marc Gigon,,,,,,,,,,19:15.51,19:06.11,,,,
Lionel Ballif,,,,17:45.45,,,,,,,,,,,
Yannick Fringeli,,,16:07.06,,,,,,,,,,,,
Björn Schräder,,,,,,16:30.12,15:53.49,15:50.34,,,,,,,
Jonas Leuenberger,,,,,,,,,15:10.38,15:17.98,15:57.53,15:49.50,,,
Fabian Jucker,,,,,15:33.26,14:57.51,14:45.82,14:45.93,14:56.24,,,,,,
Fabian Anrig,,,,,,,,,,,,,,14:58.26,
Abel Mulugeta,,,,,,,,,,14:57.24,,,,,
Dave Derigo,,,,,,,,,,,16:48.85,15:47.39,15:26.75,15:02.28,
Simon Hodler,16:10.18,15:50.57,15:22.94,15:06.26,,,,,,,,,,,
Jan Hochstrasser,,,,,,,,,,14:27.82,,,,,
Gabriel Lombriser,15:26.61,15:33.03,15:38.05,15:44.18,,,,,,,,,,,
Ludwig Ruder,,,,16:28.68,15:32.02,15:07.96,15:05.81,14:57.37,15:02.97,14:58.74,,,,15:10.24,
Christoph Rathgeb,,16:24.96,,,,,,,,,,,,,
Renato Gnos,,18:14.21,,,,,,,,,,,,,
Ilias Hernandez,,,,,,,,,,,,,,14:14.25,
Igor Ostini,16:40.10,,16:21.85,16:22.03,,,,,,,,,,,
Jan Förster,,,,,,,,,15:57.85,,,,,,
Walter Jenni,14:41.39,16:20.57,,,,,,,,,,,,,
Giuseppe Gioia,,,,,,,,,,16:29.70,16:42.21,16:46.38,16:33.66,16:37.77,
Manuel Stocker,17:19.67,,,,,,,,,,,,,,
Eloi Schornoz,,,,,,17:17.87,,,,,,,,,
Jean-Louis Juncker,,,,22:04.54,,,,,,,,,,,
Marco Delorenzi,,,,,,,,,,,,18:45.95,,,
Stefan Koster,,17:59.79,,,,,,,,,,,,,
David Hodel,,,,,,,,,,17:44.31,,,,,
Lukas Kuonen,16:57.94,15:59.87,,,,,,,,,,,,,
René Hauser,15:41.85,16:14.17,,,,,,,,,,,,,
Thomas Willemin,,,20:23.74,20:04.37,,,,,,,,,,,
Matthias Kuert,,,,,,,,,,16:56.02,,,,,
Andreas Ammann,,,,,,,,,,,,,,17:00.59,
Raphael Baumann,,,,,17:27.28,19:02.27,,,,18:09.02,,,19:13.69,,
Yared Daniel,,,,,,,,,16:23.91,,,,,,
Yan Orlandi,,15:13.94,,,,,,,,,,,,,
Florian Lussy,,,,,,,,14:59.45,,14:37.84,14:28.62,15:51.88,14:18.60,14:26.84,
Kurt Schwegler,16:08.16,,,,,,,,,,,,,,
Martial Gottraux,,,,,,,21:24.00,,,20:52.04,,,,,
Maxime Walt,,,,,,,,18:57.84,,,,,,,
Davide Vassalli,,,,,,,,18:01.16,18:37.08,,,,,,
Moritz Schenk,20:11.94,18:13.02,19:07.81,,,,,,,,,,,,
Ambroise Repond,,,,,,,,,,,,,,17:09.74,
Beat Kurmann,17:25.88,,,,,,,,,,,,,,
Roland Siegert,17:18.76,17:32.73,,,,,,,,,,,,,
Andreas Kern,16:06.56,16:27.12,,16:20.97,,,,,,,,,,,
Benno Schuler,15:32.45,15:38.34,15:34.74,,,,,,,,,,,,
Reto Dietiker,,15:30.07,14:59.60,,,,,,,,,,,,
Sven Schelling,15:32.32,,,,,,,,,,,,,,
Marco Kern,,,,,,,,,,,,14:44.39,,,
Marius Hasler,16:33.26,,16:33.65,,,,,,,,,,,,
Oqubit Berhane,,,,,,,14:30.55,14:46.04,,,,,,,
Germain Tornare,,,20:10.58,22:14.12,,20:07.23,,,,,,,,,
Florian Ulmann,17:37.54,,,,,,,,,,,,,,
Denis Bigler,,,,16:34.23,,16:02.08,,,,,,,,,
Lukas Scheidegger,,,,18:53.54,,,,,,,,,,,
Harry Huber,,17:54.52,16:57.88,17:47.13,17:33.56,17:51.20,17:59.74,18:43.47,,18:38.29,,19:30.06,,,
Peter Kreienbühl,15:59.18,,,,,,,,,,,,,,
Luca Foglia,16:54.07,,17:37.82,17:33.70,,18:11.18,,18:29.44,,,,,19:23.00,,
Nicolas Roditscheff,,16:43.43,,,15:45.21,15:41.17,,,,,,,,,
Nikita Kostyuchenko,,,,,,,17:12.69,,,16:34.59,,,,,
Elia Pagani,18:53.39,,,,,,,,,,,,,,
Jan Hendrik Neiser,,17:34.73,,17:01.37,,,,,,,,,,,
Kaspar Grünig,16:07.38,,,16:25.30,,,,,,,,,,,
Adrian Müller,,,,,,,,15:48.04,,,,,,,
Lorenz Meuli,,,15:31.20,15:47.90,16:20.40,,,,,,,,,,
Guido Enz,,,,17:46.38,,,,,,,,,,,
David Keller,,,,,,,,,,,,15:53.14,16:22.57,,
Estefanus Hailemichael,,,,,,,,16:00.41,,,,,,,
Valentin Fridelance,,,,16:29.64,,,,,,,,,,,
Nicola Hagger,,,,,,,,,,,,15:51.92,15:37.04,16:06.43,
Benjamin Schaub,,16:52.55,15:48.97,15:23.10,,,,,,,,,,,
Yves Cornillie,,,,,,,,,,,,16:20.93,15:26.56,15:00.42,
Max Studer,,,,,,,,,,,14:55.11,14:50.65,14:20.89,,
Adrian Caaveiro,,16:34.63,,,,,,,,,,,,,
Benjamin Fleury,,,,16:33.36,,,,17:50.52,17:01.64,,,,,,
Christoph Menzi,14:57.33,14:34.42,14:56.88,15:10.20,,,,,,,,,,,
Baptiste Pugin,,,,,,,,,,,18:51.48,,,,
Manuel Greca,,,,20:23.43,21:05.51,,,,,,,,,,
Christopher Gmür,15:23.41,14:58.68,14:43.26,14:48.29,14:37.78,14:40.43,,14:17.20,14:28.28,,,,,,
Jan Köstinger,,,18:14.89,17:22.05,,,,,,,,,,,
Brian Burg,,,,18:27.12,,,,,,,,,,,
David Stillman,,,16:06.04,,,,,,,,,,,,
Olivier Widmer,,,,,,,15:37.11,15:30.34,15:26.61,15:24.98,,,,,
Julien Wobmann,18:57.12,,,,,,,,,,,,,,
Abdi Salam Ali,,,,,,,,,,,,,,14:49.59,
François Mahon,17:15.38,18:35.76,19:07.55,18:51.46,,,,,,,,,,,
Anato Lalimo,15:30.96,,,,,,,,,,,,,,
Stéphane Joly,14:18.87,,,,,,,,,,,,,,
Guido Biondo,,,16:22.17,15:52.49,,,,,,,,,,,
Adrian Marti,15:58.27,16:43.88,,15:40.03,,,,,,,,,,,
Roger Küng,,,,,15:40.49,,,,,,,,,,
Michele Lardi,,,,,,,,,,17:53.90,16:54.76,,,,
Pascal Ungersböck,,,,,,,15:08.57,15:00.86,,,,,,,
David Terbois,,,,,,,,,,,17:29.20,,,,
Marco Oberti,16:51.40,,,,,,,,,,,,,,
Kolbjörn Aase,,,,,,,,,,19:24.22,,19:47.75,,,
Cédric Lehmann,,,,,,,,,,15:19.16,,,,,
Davide Gambonini,,17:42.49,17:11.78,17:14.03,17:07.66,17:19.61,,17:30.88,,17:49.28,18:35.61,,,,
Alex Schalch,,,17:30.63,,,,,,,,,,,,
Raphael von Vivis,,,20:09.52,20:08.39,,,,,18:34.12,,,,,,
Alexandre Dontchev,,,,,,,22:17.86,24:29.36,,,,,,,
Sium Zerehannes,,,,,,,,,,15:44.83,,,,,
Francisco Taboada,,,,,,,,,,,,,,19:14.51,
Yann Stettler,,,,,,,,,,,,,16:14.34,,
Samuel Merk,16:14.97,16:03.45,,,,,,,,,,,,,
Raphael Kunz,,,,,,,,,,,,16:18.21,16:42.89,,
Markus Knellwolf,,15:51.12,,,,,,,,,,,,,
Hansjörg Brücker,15:34.49,15:15.60,15:32.20,15:38.75,16:08.10,15:59.32,16:28.67,,16:55.94,16:37.22,16:43.01,17:30.05,,,
Elpidio Iannello,,,24:00.65,,,,,,,,,,,,
Thibault Niederhauser,,,,,,,,,,,17:47.44,16:57.23,,15:55.41,
Baptiste Rollier,,16:18.74,,,,,,,,,,,,,
Jonas Kuratli,,,15:51.05,15:38.14,15:21.02,15:06.67,15:05.64,15:01.77,,,,,,,
David Perriard,,,,19:53.23,,,,,,,,,,,
Laurent Rapillard,,16:27.99,,,17:37.39,17:02.77,,,,,,,,,
Samet Tela,,,,,,,,17:10.04,,,,,,,
Markus Sauter,,,,,,,,,,,,,,19:09.66,
Morgan Le Guen,,,,,,,,,,,,,,14:14.63,
Julien Lyon,,,15:09.59,14:59.29,,,14:57.32,,15:07.99,14:11.16,14:22.90,,,,
Thomas Schlittler,,16:11.12,,,,,,,,,,,,,
Timo Suter,,,,,,,,,,,,,,15:11.10,
Laurent Schenkel,,,,,,17:03.81,16:30.81,15:41.40,16:05.35,,,,,,
Landry Jaquet,,,,,17:31.92,,,,,,,,,,
Frederic Chautems,,,19:05.82,,,,,,,,,,,,
Pierre Morin,,,,,,,,,,,18:55.82,,,,
Ivan Pongelli,16:19.29,15:12.65,,15:07.41,14:57.43,15:15.18,15:13.61,16:21.71,15:38.50,,,,,,
Philipp Berger,,15:49.29,,,,,,,,,,,,,
Beat Blättler,16:10.30,15:53.65,16:17.40,16:26.64,,,,,,,,,,,
Ueli Küttel,16:16.20,15:54.92,17:17.69,17:22.36,17:27.25,17:58.23,,16:27.23,16:58.05,18:13.10,17:44.09,17:20.99,19:30.44,,
Markus Hagmann,,15:21.52,15:59.34,16:44.87,,,,,,,,,,,
Kevin Thoma,,,,,,,,,,,,,19:18.37,,
Janis Gächter,,,,,,,,15:46.16,15:27.68,15:18.17,,,15:01.92,14:38.87,
Lutz Körner,,,,,15:13.78,15:21.21,15:32.04,,,,,,,,
Tim Jakob,,,,,,,,,17:45.12,,,,,,
Christoph Ryffel,15:27.02,15:21.25,14:57.38,14:15.82,14:27.05,14:09.73,14:05.71,,,,,,,,
Geoffroy Brändlin,,,,,,,,,,,,17:52.70,,,
Clint Perrett,,,,,14:07.96,14:12.94,,,,,,,,,
Matthias Udry,,18:49.86,,,,,,,,,,,,,
Roman Hunziker,,,,,,,16:44.37,,,,,,,,
Nicolas Repond,,,,15:15.89,,,,,,,,,,,
Sullivan Brunet,,,,15:59.54,,,15:15.93,,,,,13:59.36,14:11.34,14:37.38,
Thomas Castella,,,,,,21:32.37,21:53.74,,,,,,,,
Smon Ghebretsion,,,,,,,,,,,,15:53.04,,,
Thomas Feuz,,,15:48.79,15:31.68,15:22.28,15:44.40,15:51.31,,,,,,,,
Christoph Hubacher,15:25.45,15:32.30,,,,,,,,,,,,,
Patrick Aebischer,18:22.05,,,,,,,,,,,,,,
Ivan Gisler,14:33.67,,,,,,,,,,,,,,
David Kiser,,,,,17:27.79,,,,,,,,,,
Patrick Pauchard,,,18:25.01,18:37.37,,,,,,,,,,,
Fabio Wider,,,,,,18:08.40,,,,,,,,,
Alan Velati,,,,,,,17:03.47,,,,,,,,
Daniele Giugni,15:57.13,,,,,,,,,,,,,,
Lukas Oehen,,,,,,,,,,14:54.29,,15:43.53,,,
Thomas Gmür,,,,,,,,,,,15:20.97,,,,
Daniel Schläpfer,,,,16:41.82,,,,,,,,,,,
Yannick Jabas,16:30.62,,,,,,,,,,,,,,
Stephan Wenk,15:13.37,14:59.65,,15:35.30,,,,,,,,,,,
Philipp Huber,,17:38.68,,,,,,,,,,,,,
Johnny Balasubramaniam,15:33.34,,,,,,,,,,,,,,
Dominique Crevoiserat,18:12.14,,,,,,,,,,,,,,
Andrea Ricci,,,,,,,17:23.30,17:41.27,16:47.70,16:47.47,,,,,
Julien Wanders,,,,,,,,14:55.91,14:06.23,13:48.21,13:50.41,13:37.48,13:24.79,13:13.84,
Erwin Inglin,,,,16:34.14,16:01.09,,,,,15:15.85,,,,,
David Rüedlinger,,,,15:38.12,,,,,,,,,,,
Pascal Haab,,19:29.48,,,,,,,,,,,,,
Daniel Hegner,,,,,,,,,,,,,18:24.71,,
Nathan Dugast,,,,,,,,,,,,15:30.66,,,
José Lima,,,,,,,,,,17:13.08,,,,,
Tesfay Misgun,,,,,,,,,,,,17:01.48,,,
Marco Wenger,,,,,,,,,,,,20:48.89,,,
Emanuele Neve,,,,,,,,,,16:24.64,,,,,
Maurice Christen,,,,,,,,,,,,,15:31.27,14:44.88,
Luca Holer,,,,,,,,,,,,,,16:50.04,
Elpidio Janiello,,25:44.41,,,27:14.52,29:08.32,,30:01.47,,29:28.08,,,,,
Stefan Gerber,,,,14:31.70,,,,,,,,,,,
Daniel Lustenberger,,,,,,,,,,,15:21.24,,,,
Nicolas Bocherens,,,,,16:13.73,,,,,,,,,,
Tolossa Chengere,13:56.64,14:02.77,13:40.69,13:37.26,,14:35.12,,,14:25.25,,,,,,
Manu Sassi,,,,,,,,,14:58.10,,,,,,
Damien Schaller,,,,19:14.38,18:05.00,18:10.00,,,,,,,,,
Pascal Bucher,,,,,,15:53.21,,15:36.76,,15:42.48,,,,,
Andreas Thode,,16:43.20,17:10.93,,,,,,,,,,,,
Adrian Karrer,,15:37.47,15:15.54,,,,,,,,,,,,
Abraham Ashene,,,,,,,,,,,15:34.93,14:29.32,,,
Lukas Marti,,,,,,,,,,14:53.14,14:41.54,14:56.56,14:34.88,14:23.40,
Michael Ott,15:54.83,15:38.90,15:04.84,15:02.21,14:52.59,,,,,14:48.48,,,,,
Flavio Bizzozzero,,,,,,,,,,,,19:00.04,,,
Adrian Jenny,15:30.14,,,16:06.74,,,,,,,,,,,
Luis Rodrigues,,,,,,,,,,20:01.85,,,,,
Thomas Benz,15:33.86,,,,,,,,,,,,,,
Robin Bareth,,,,16:09.57,,,16:57.82,15:17.58,,,,,,,
Marc Rotzetter,,,,,,,,,,,,16:52.09,,16:53.73,
David Rodriguez,17:58.73,,,,,,,,,,,,,,
Andreas Kempf,,,,,14:42.66,14:35.42,14:28.79,14:03.82,14:10.09,14:02.60,14:29.43,14:09.30,,,
Christoph Steinbacher,,,,,,,16:15.44,16:14.42,,,,,,,
Simon Andreas Bühler,16:30.38,16:30.02,,,,,,,,,,,,,
Eric Rüttimann,,,,,,15:05.55,15:44.17,,14:57.59,14:35.00,,,,13:59.34,
Nicolas Jaunin,,,,,,,,,,18:48.26,,,,,
Mohammed Meftah El Khair,,,,,,,,,,,,,14:20.37,,
Beat Germann,,,,,,,,18:10.80,17:29.44,,,,,,
Markus Gerber,,,,,,,,,,17:15.23,,,,,
Georg Schellenberg,,,20:24.78,,,21:50.93,,,,,,,,,
Mathieu Bichsel,,,,,,,,,,,,,17:21.30,,
Cornel Brunner,,,,,,,,,,,17:26.14,17:15.05,,,
Roberto Delorenzi,,,,,,,,,,,,16:31.05,,15:22.86,
Nicolas Collas,,,15:36.57,,,,,,,,,,,,
Alexandre Vouilloz,,,,,,16:22.08,,,,,,,,,
Patrick Schweiger,,,,,,,,,,,,19:23.35,,,
Christian Belz,13:26.58,14:17.60,,13:58.96,14:01.85,,,,,,,,,,
Reto Weber,16:07.85,,,,,,,,,,,,,,
Ueli Stähli,,16:33.94,,,,,,,,,,,,,
David Rohrbach,,,,,,,16:39.88,16:33.45,,,,,,,
Gabriel Matos,,,,,,,,,,,,,,15:24.98,
Fabian Kammermann,,,,,,,15:47.73,,,,,,,,
Pascal Preisig,,,16:55.63,,,,,,,,,,,,
Ulisses Joos,,,,,,,15:24.48,,16:13.73,15:17.71,15:30.55,15:28.21,15:10.97,,
Fabian Kuert,,,,,,,,,,14:37.22,14:42.41,,14:42.65,14:26.61,
Abdirahman Ciise Nur,,,,,,,,,,15:02.15,,,,,
Rubén Oliver,15:08.80,15:00.36,14:54.55,,14:53.45,14:57.95,15:07.38,14:59.23,14:32.07,14:37.16,15:07.45,,,,
Pino Pilotto,23:25.97,23:26.14,,,24:25.10,24:25.93,23:16.39,24:54.20,,,,,,,
Valentin Belz,,15:04.39,15:24.29,15:42.36,,,,,,,,,,,
Alain Balleret,,,,,,,,15:34.86,,,,,,,
Bjarne Kölle,,,,,,,,,,,,15:50.29,15:22.92,15:29.57,
Tedros Sium,,,,,,,,,,,,,15:45.36,15:46.87,
Bruno Invernizzi,15:48.49,,,,,,,,,,,,,,
Ahmed El Haddad,15:49.20,,,,,,,,,,,,,,
Stéphane Schweickhardt,18:32.17,,,,,,,,,,,,,,
Lukas Itin,,17:31.81,,,,,,,,,,,,,
Simon Tesfay,14:10.56,13:48.26,14:57.92,13:59.49,14:18.11,14:06.14,,,,14:16.40,,,,,
Marc Schaller,,,,,,,19:28.50,,,,,,,,
Mickael Marti,,,,,,,,,,,,,,16:11.85,
Matteo Hübner,,,,,,,,,,,,,,17:18.20,
David Probst,,,,,,,,,,,19:27.84,,,,
Albert Anderegg,17:08.63,17:11.15,,17:25.23,,18:14.84,18:10.86,,,19:48.88,,,,,
Alain Mc Laren,15:14.51,15:37.01,,,,,,15:44.54,,,,,,,
