Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Elena Eichenberger,,,,,,,,,,,,5:06.23,4:59.98,4:50.45,4:33.85
Marlena Jurt,,,,,,,,,,,,,,4:53.05,
Karine Joye,,,,5:05.86,,,,,,,,,,,
Anja Koller,,,,,,,,,5:05.68,,,,,,
Emilie Gibson,,,,,,,,,,5:45.46,5:27.20,5:34.73,,,
Anaëlle Hirschy,,,,,,,,,,5:48.53,,,,,
Muriel Forster,,,,,,,5:00.00,4:59.28,,4:49.88,,,,,
Loanne Duvoisin,,,,,,,,5:43.68,,,,,,,
Alizée Pittet,,,,,,5:12.90,,5:12.25,,,,,,,
Shirley Lang,,,,,,,,,,,,4:46.91,4:39.60,4:30.31,4:24.31
Solène Grand,,,,,,,,,,,,6:13.42,,,
Gaia Berini,,,,,,,,,,,,,,,4:57.64
Anna Riesen,,,,5:35.06,,,,,,,,,,,
Patricia Küttel,,,,,,,,6:20.27,,,,,,,
Shelly Schenk,,,,,,,,,,,4:53.13,4:58.58,,,
Christel Köstinger,,,,5:41.86,,,,,,,,,,,
Laura Leimgruber,,,,,,,,,,,,,,5:11.40,
Gianna Marano,,,,5:07.07,,,,,,,,,,,
Alexia Mottier,,,,,5:06.74,,,,,,,,,,
Jasmin Marty,,,,,,4:54.36,,,,,,,,,
Elizabeth Elwell,,,,,,,,,,5:32.20,5:42.01,,,,
Marie-Claude von Allmen,,,,,,,,,,4:55.32,4:43.82,4:50.98,,,
Malin Rahm,,,,,,,,,,,,,,4:56.95,4:47.80
Zoe Bentley,,,,,,,,,,,,,,,5:12.35
Sarina Rothenbühler,,,,,,,,,,,5:39.75,,,5:17.14,
Anja Rüdisüli,,,,,,5:03.13,,4:40.60,4:43.88,,,,,,
Cindy Cattin,,6:13.24,6:09.78,,,,,,,,,,,,
Durka Frey,,,,,,,4:21.50,4:37.07,,,,,,,
Simone Schmid-Kappler,,,,,,7:42.89,,,,,,,,,
Michèle Beljean,,,,,,,,,,,5:32.79,,,,
Franziska Paech,,,,,,,,,,5:41.02,,,,,
Christine Wyrsch,,5:08.30,4:52.67,4:44.55,,,,,,,,,,,
Edith Burkard,,,6:01.71,,,,,,6:16.34,,,,,,
Katharina Jurt,,,,,,,,,,,,,,,5:10.26
Fabienne Aubry,,,,,,5:43.51,,,,,,,,,
Giulia Marzano,,,,,,,,5:12.24,5:02.31,4:55.62,,,,,
Conceição Mesquita,,,5:28.64,,,,,,,,,,,,
Lorraine Schaefer,,,,,,,,5:40.07,5:14.47,,,,,,
Tamara Halabi,,,,,,,5:19.43,4:56.60,,,,,,,
Marigna Franck,,,,5:03.60,,,,,,,,,,,
Mélissa Girardin,,,,,,,,,,,,,,4:55.18,4:52.44
Alena Grogg,,,,,,,,,,,,,,,5:05.48
Aita Ammann,,,,,,,,,,5:01.69,4:56.58,4:51.45,4:39.35,4:53.38,
Martina Süess,,,,5:08.11,4:59.92,5:03.64,5:04.67,,,,,,4:59.33,,
Rebecca Beer,5:12.88,,,,,,,,,,,,,,
Chiara Ghielmini,,,,,,,,,,,,,5:03.15,,
Delphine Hess,,,,,,,,,,,,,,,6:07.55
Garance Perrenoud,,,5:41.40m,,,,,,,,,,,,
Viola Schön,,,,,,,,,,,4:49.67,4:59.55,5:06.38,,
Melanie Imhof,,5:13.73,,,,,,,,,,,,,
Alana Vannay,,,,,,,,,,,5:01.07,4:52.20,,4:34.52,4:48.43
Stéphanie Veillard,,,,6:28.58,,,,,,,,,,,
Anna Clay,,,,,,,,,,,,5:05.50,,,
Noémie Pasche,,,,,,,,,,,,,,5:33.26,
Susanne Frey,5:25.06,,,,,,,,,,,,,,
Cynthia Pidoux,,,,,,,,,,,,,,5:47.79,
Nathalie Aymon,,5:50.06,,,,,,,,,,,,,
Corinne Stieger,,4:58.56,5:27.01,,,,,,,,,,,,
Fenna Spaak,,5:33.75,,,,,,,,,,,,,
Lemi Leisibach,4:48.73,4:43.75,5:13.02,4:59.37,,,,,,,,,,,
Melina Frei,4:52.72,4:43.33,4:42.66,4:46.50,4:42.74,,,,,,,4:40.56,,,
Mégane Constantin,,,,,,,,,,5:49.36,,,,,
Shirin Kerber,,,,,,,,,,,,,,4:57.39,4:42.21
Emma Thibert,,,,,,,,,,,,,4:51.23,,
Saskia Ganz,,,,,,,,,,5:08.46,5:04.33,5:06.51,,,
Jasmin Kolly,,,,5:25.86,,,,,,,,,,,
Nancy Aburto,,,,,,,5:02.89,,,,,,,,
Marlis Wickli,,,,5:04.00,,4:52.05,,5:01.79,,4:55.76,,,,,
Lisa Schneeberger,,,,,,5:06.04,4:59.79,4:51.66,4:57.29,5:09.58,,4:57.93,,4:51.17,
Fiona Zoebeli,,,,,,,,,5:15.94,5:03.64,5:04.36,5:09.41,,,
Nicole Donzallaz,,,,,5:34.61,,,,,,,,,,
Chloé Reymond,,,,,,,,,,,,,,,5:07.67
Eveline Mosimann,5:49.71,,6:16.23,,,,,,,,,,,,
Joëlle-Anja Boschung,,5:24.42,5:12.95,5:02.25,4:57.30,5:01.85,5:09.22,5:05.70,,,,,,,
Marion Ryser,,,,,,,,,,,,5:37.21,5:17.40,,
Vanessa Schmid,,,,,,,,,5:26.98,,,,,,
Chloe Eaton,,,,,,,,5:25.16,5:24.56,,,,,,
Charlotte Racine,,,,,,,,,,,,,,5:08.52,
Mirjam Fässler,,,,4:59.32,,,,,,,,,,,
Jasmina Takacs,,,,,,,5:01.18,5:01.62,,,,,,,
Kathrin Ziegler,4:59.36,4:48.75,4:53.85,4:48.67,4:51.82,,4:52.36A,4:50.23,4:42.32,4:43.65,4:44.10,4:41.78,4:49.40,4:45.10,4:56.72
Chantal Scherrer,,,,,,,,,,,,,,,5:19.27
Myriam Keiser,,,,,,,,,,5:20.84,5:00.56,4:54.28,4:58.45,,5:03.97
Sara Salvadè,,,,,,,,,,,,,,,5:01.25
Corinne Muff,,,,,4:52.25,,,,,,,,,4:44.27,
Sabrina Baumgartner,4:37.37,,4:34.93,,,,,,,,,,,,
Nicole Muff,4:58.41,,,,,,,,,,,,,,
Viviane Rennhard,,,,,,,5:22.70,,,,,,,,
Mégane Vallotton,5:36.85,,,,,,,,,,,,,,
Céline Schärer,,,,4:48.86,,,,,,,,,,,
Laëtitia Froidevaux,,5:29.09,5:02.08,,,,,,,,,,,,
Flavia Schnyder,,,,,,5:28.76,5:07.83,5:04.70,,,,,,,
Kristina da Fonseca-Engelhardt,,,,,,,,,,4:55.72,4:58.04,4:46.82,,,
Francesca Scala,,,,,,,,5:10.28,,,,,,,
Sandra Müller,,,,,,,,,,5:06.96,4:51.84,5:00.75,4:57.39,4:56.66,4:40.85
Lea Ammann,,,,,,,,,,,,,4:41.82,,
Selina Eichelberger,,,,,,5:29.01,,,,,,,,,
Alie Fordyce,,,,,,,,,,,,,4:25.06,4:23.10,
Hannah Schiffer,,,,,,,,,,,5:12.12,,,,
Linda Stichert,,,,,,4:50.06,,,,4:54.45,,,,,
Cynthia Naoni,5:42.93,,,,,,,,,,,,,,
Camille Leneuf,,,,,,,,,5:39.49,,,,,,
Sabrina Kreuzer,,,,,,,,,7:21.25,,,,,,
Lani Sofia Wiggli,,,,,,,,,,,,,,,5:21.93
Sina Meier,,,,,,,,,,,,5:32.35,,,
Estefania Garcia,,,,,,6:20.40,,,,,,,,,
Karin Egli,5:00.10,5:05.64,5:13.35,5:23.47,,,,,,,,,,,
Livia Hasler,,,,,,,,,,,5:18.70,,,,
Karin Winkler,4:49.66,4:44.79,4:51.06,4:45.57,4:42.00,,,,,,,,,,
Kathrin Fischer,,,,,,,,,,,,6:32.12,,6:40.65,
Thayna Horner,,,,,,,,,,,5:00.93,4:52.50,5:19.85,,
Mirjam Gautschi,,,,,,,,,,4:58.67,4:58.55,5:02.33,5:03.93,,
Séline Helfenberger,,,,,5:07.73,5:08.36,5:01.67,5:05.07,,,,,,,
Michèle Wieland,,,,,,,,,,,4:56.19,4:45.35,4:34.91,4:35.03,
Stefanie Barmet,,,,,,,,4:37.85,4:35.09,,4:18.66,4:14.95,4:35.67,4:23.39,4:34.48
Kerstin Rubin,,,,,,,,4:37.95,4:39.63,4:30.37,4:33.06,4:23.73,4:28.53,,4:27.73
Selina Fehler,,,,,,,,,,,,4:45.78,4:30.80,4:25.37,4:23.75
Maéva Camilotto,,,,5:07.40,,,,,,,,,,,
Nadja Kehrle,,,,,,,,,5:19.88,5:11.13,,,,,
Olivia Schönenberger,,,,,,,,,7:43.84,,,,,,
Sandra Löhrer,,,,,,,4:54.40,4:55.01,,,,,4:53.23,,
Melanie Spori,,,,,,,,,5:35.48,5:10.47,5:20.15,5:11.99,,,
Sara Mesquita,,,,,,,,,,,,,,5:11.93,
Franziska Streit,5:07.83,,,,,,,,,,,,,,
Vivienne Raschle,,,,,,,,,,,5:38.14,,,,
Mylène Avondet,,,,,,,,,5:33.08,5:41.25,,,,,
Déborah Chiarello,,,,,,,,5:18.74,5:14.03,,,,,,
Magali Beuchat,5:28.04,,,,,,,,,,,,,,
Katrin Engelen,4:54.30,,,,,,,,,,,,,,
Mélanie Naulot,,,,,,,,5:02.10,,,,,,,
Daniela Corga,,,,,,,,,,6:11.28,,,,,
Lisa Codeluppi,,,5:15.21,5:11.12,,,,,,,,,,,
Sabine Krähenbühl,5:31.81,5:39.73,5:26.94,5:27.79,5:28.25,5:17.33,5:20.27,5:03.59,,5:14.46,5:08.71,5:40.84,,5:44.83,5:27.76
Tanja Forster,,,,,,,5:16.64,,4:57.94,5:07.29,,,,4:59.99,5:06.03
Lisa Walther,,5:30.78,,,,,,,,,,,,,
Renate Wyss,,4:42.65,,,,,,,,,,,,,
Michèle Gantner,,,,,,,,,,4:50.49,4:44.02,4:40.27,4:47.50,4:43.39,
Noémie Bont,,,,,,,,6:43.11,,,,,,,
Laura Tarchini,,,,,6:18.62,,6:17.53,6:26.22,6:04.04,,,,,,
Romaine Masserey,,,,,,,,,,,,5:24.48,,,
Marina Hemmi,,,,,,5:39.72,,,,,,,,,
Morena Cavallasca,,,,,,,,,,,,,,5:32.49,5:27.38
Fabia Abel,,,,,,,,,,,,,,,5:41.98
Chantal Hegelbach,,,,,,,,,,,,,,,5:17.49
Natacha Séverine Savioz,,,,,5:24.19,5:12.01,,4:52.11,4:45.24,4:49.55,4:45.44,4:40.17,,4:35.82,4:33.92
Maya Hofer,,,,4:51.22,4:59.46,5:11.00,,,,,,,,,
Anaïs Buri,,,,,,,,,,,,,,,5:21.88
Caroline Ulrich,,,,,,,,,,,,4:59.54,4:48.66,4:49.25,
Melanie Bühlmann,,,,,,5:58.13,,,,,,,,,
Bettina Taxer,,,,,,,5:03.39,4:56.26,,,,,,,
Jasmin Widmer,4:45.11,4:41.65,,,4:44.70,,,,,4:33.18,,,4:40.11,,
Océane Pfister,,,,,,,,,,,,,,5:26.25,5:28.43
Marion Cochand,5:35.12,5:08.19,,,,,,,,,,,,,
Lavignia Lovato,,,,,,,,,,,5:14.26,4:54.73,4:51.28,4:49.87,4:44.21
Eryn Oberli,,,,,,,,,,,5:36.22,6:06.11,,,
Sabrina Hochuli,,,,,,,,,,,,,,,5:31.12
Annabel Soares,,,,,,,,,,,,,4:53.62,4:53.36,
Fiona Steffen,,,,,,,,5:01.40,,,,,,,
Iris Blazevic,,,,5:33.82,5:29.01,5:19.88,,,,,,,,,
Louisa Welbergen,4:34.54,,,,,,,,,,,,,,
Amy Leibundgut,,,,,,,,,,,5:00.46,5:00.33,4:57.58,4:49.47,4:46.79
Elodie Charmillot,,6:18.71,,,,,,,,,,,,,
Pamela Märzendorfer,,,,,,4:32.06,,,,4:42.29,,,,,
Lydia Hayenga,,,,,,,,,,,,5:20.52,5:14.53,5:24.46,
Danielle Merlo,,,,,,,,,,,,,5:15.71,5:34.71,
Mathilde Marteil,,,,,,,,,,5:32.69,,5:18.67,,,
Amaryllis Ngayo Fotso,,,,,,,,,,,,,5:24.16,,
Martina Candiani,,,,5:08.71,,,,,,,,,,,
Alina Ruppen,,,,,,,,,,5:13.19,5:14.39,5:18.92,,5:42.30,
Isabelle Schindler,5:28.86,,,,,,,,,,,,,,
Seline Scherrer,,,,,,4:52.76,,,4:42.39,,4:34.41,4:29.81,4:26.39,4:27.95,4:35.94
Francesca Iametti,,,,,,,,,,,,5:30.43,,,
Lea Egloff,,,,,,,,,,,,,,5:12.90,5:04.11
Hannah Mayr,,,,,,,,6:57.37,,,,,,,
Regula Wyttenbach,,4:49.81,4:39.91,4:37.89,4:34.37,4:33.97,4:25.72,,,,,,,,
Nadia Schenk,5:34.79,,,,,,,,,,,,,,
Vera Bischoff,,,,,,,,,,,,,,5:34.97,
Ruth Briggs,4:47.71,,,,,,,,,,,,,,
Christelle Matthey,4:51.23,,,,,,,,,,,,,,
Morgane Crausaz,,,,,,,5:41.62,,,,,,,,
Noëmie Komagata,5:38.85,,,,,,,,,,,,,,
Caroline Kuonen,,,5:21.21,5:24.45,,,,5:21.68,,,,,,,
Florina Jurt,,,,,,,,,,,,,,,5:06.04
Lucie Aeschlimann,,,,,,,,,,,,,5:52.00,,
Sabine Kuonen,5:00.17,5:09.47,5:03.22,4:57.33,,,,,,,,,,,
Tamara Kamm,,,,,,,,,5:25.08,,5:26.30,,,,
Nela Franzi,,,,,,,,,,,,,,,5:56.23
Aude Salord,,,,,,,,,,,,4:33.62,,,
Selina Amsler,,,,,,,,,,,,5:19.32,,,
Zoe Ranzoni,,,,,,,,,,,,4:54.18,4:40.47,4:35.56,4:41.07
Sydney Maître,,,,,,,,,,6:33.56,,,,,
Chloé Reber,,,,6:29.27,,,,,,,,,,,
Pascaline Gremion,,,,,,,,,,,,6:32.96,,,
Lena Weiland,,,,,,,,,,,,,,,4:40.14
Nadine Allemann,,,,,,,5:21.69,5:22.13,5:06.35,5:08.19,5:07.30,,5:01.64,4:50.45,4:38.51
Joëlle Flück,4:40.96,,4:30.91,4:30.63,4:26.09,4:22.57,4:21.92,4:21.14,4:24.77,4:25.12,,,,,
Susanne Veil,,,,,,6:00.39,,,,,,,,,
Céline Hauert,,,5:01.35,4:48.86,,,,,,,,,,,
Anja Stutz,,,,,,,,,,,,,4:56.29,4:53.88,4:46.77
Jeannine Flury,4:49.94,4:48.06,5:00.27,4:56.27,,,,,,,,,,,
Vanessa Ouar,,,,,,,,,,,4:39.14,,,,
Zoe Dell’Andrino,,,,,,,,,,,,,,,6:35.61
Regula Achermann,4:50.26,4:52.89,4:50.07,4:45.64,,,,,,,,,,,
Nicole Zwahlen,,,,,,5:05.83,,,,,,,,,
Lea Niedhart,,,,,,,,,,,5:20.95,5:06.71,5:15.46,,
Carmen Bucher,,,,4:48.98,,,,,,,,,,,
Céline Müller,,,,,,5:49.73,,,,,,,,,
Joceline Wind,,,,,,,,,,,,,4:35.59,4:23.34,
Marie-Aimerance Nsanzimana,,,,,,,,,,,,,,5:41.75,
Nina von Atzigen,,,,,,,,,,,,,,,5:08.26
Livia Wespe,,,,,,,,,,,,,,,4:48.53
Carina Fähndrich,,,,,,,,6:43.15,,,,,,,
Céline Diethelm,,,4:51.40,4:50.61,,,,,,,,,,,
Barbara Ranney-Graf,,,,,,,,,,,,,5:40.30,,
Elena Maceira,,,,,,,,,,,,6:07.76,5:33.63,5:33.00,
Nisa Camelo,,,,5:09.96,,,,5:01.49,,5:09.41,,,,5:02.59,5:06.11
Nadja Hinder,,,,,,,,5:50.69,,,,,,,
Andrea Roggo,,,,,,,,,,,,,,5:02.21,
Rachel Cudré-Mauroux,,,,,,,,,4:42.50,,,,,,
Julie Fleury,,,5:37.30,5:47.26,,,,,,,,,,,
Kajsa Rahm,,,,,,,,,,,,,4:42.66,,
Monika Vogel,4:25.02,4:29.51,4:22.83,4:20.23,4:23.45,4:21.17,4:28.05,,,,,,,,
Alina Federer,,,,,,,,,,4:39.86,4:44.91,4:41.60,4:40.42,4:36.27,
Erika Kälin,,,,,,,,,,,,,,6:44.25,
Alisha Brechbühl,,,,,,,,,,,,,,,5:00.00
Nalani Tischhauser,,,,,,,,,,,,,4:59.28,,
Carole Pauli,5:06.28,5:00.45,,4:57.41,5:04.85,,,,,,,,,,
Marjolein Terwiel,4:30.43,,,,,,,,,,,,,,
Muriel Wegmüller,,,,,,,,,,,,,5:21.02,5:10.53,5:03.50
Melanie Annaheim,,4:53.09,,,,,,,,,,,,,
Jasmin Budmiger,,,,,,,,,,,,,5:31.76,,
Larissa Scherrer,,5:07.49,,,,,,,,,,,,,
Sara Lovato,,,,,,,,,,,,,,,5:56.54
Flavia Baumeler,4:59.90,,,,,,,,,,,,,,
Lilly Nägeli,,,,,,,,,,,,,,4:29.87,4:25.13
Iris Lauper,5:02.34,,,,5:10.44,,,4:47.56,4:39.24,4:42.64,,,4:57.20,,
Marie Therese Frey,5:06.15,4:57.50,5:18.46,4:58.18,5:01.51,5:06.82,,,,,,,,,
Erika Bieri,4:38.65,,,,,,,,,,,,,,
Anita Weyermann Salzmann,,4:28.19,,,,,,,,,,,,,
Lea Haldner,,4:53.99,,5:07.32,,,,,,,,,,,
Ravenna Gassmann,,,,,4:59.45,,,,,4:44.16,4:57.42,4:47.15,,4:31.86,
Aloïse Cremet,,,,,,,,,,,,,,5:21.06,
Aixala Gaillard,,,,,,,,5:28.93,,,,,,,
Fiammetta Troxler,,,,,,,4:39.09,4:34.13,4:32.51,4:37.87,4:42.41,4:34.15,,,
Svenja Frei,,5:25.00,,,,,,,,,,,,,
Ramona Germann,,,,,,,,,,5:08.97,,,,,
Camille Walther,,,,,,,,,,,,,,6:05.04,
Coline Ricard,,,,,,,,,,4:40.15,,,,,
Nicole Niederberger,,,,,,,,,,,,,,5:07.91,5:14.18
Iris Schürch,,,,,,,,,,6:13.05,6:11.86,,6:01.29,,
Irina Freiburghaus,,,,,4:43.46,4:44.79,,,,,,,,,
Manuela Maffongelli,4:38.07,4:32.90,4:34.01,,4:43.97mM,4:44.98,4:40.24,,,,4:43.46,4:52.81,,,
Aline Yuille,,,,,,,,,,,,,4:44.23,5:03.84,
Noémie Fragnière,5:18.56,5:05.80,,5:14.84,,,,,,,,,,,
