Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Benjamin Gföhler,,,,,4:51.32,,4:34.50,4:37.40,,,,,,,
Yannick Wey,,,,,,4:35.14,,,,,,,,,
Janik Niederhauser,4:36.05,4:24.13,4:14.56,4:17.39,4:05.99,,4:03.55,3:59.29,4:10.95,4:24.22,,,,,
Jonas Blum,,,,,,,,,,,,5:07.23,,4:58.37,
Mirko Blättler,,,,,,,4:07.66,4:08.02,4:04.16,4:10.65,,,4:18.52,4:14.50,
Simone Nolli,,,5:15.37,5:00.80,4:28.60,4:24.20,4:22.95,,,,,,,,
André Stadelmann,4:35.95,4:31.47,4:33.94,,,,,,,,,,,,
Lionel Sauser,,,,,,,4:42.07,,4:25.19,,,,,,
Kevin Meierhofer,,,4:15.16,,,,,,,,,,,,
Sebastian Heckers,,,,,,,,,,,,5:12.91,,,
Thomas Gmür,,,,,4:30.78,4:05.49,3:56.22,3:48.40,3:46.78,3:48.70,3:49.35,3:44.83,3:46.60,3:47.30,3:46.63
Jean Mégret,,,,,,,,,,,,4:57.74,4:55.98,4:51.31,
Sven Krattinger,,,,,,,,,,,,,,4:27.40,
Marco Trummer,4:28.08,4:38.55,,,,,,,,,,,,,
Nicolò Pisoni,,5:21.43,,,,,,,,,,,,,
Davy Desgalier,,,4:10.00,,,,,,,,,,,,
Luca Räss,,,,,,4:21.16,,,,,,,,,
Siro Gentilini,,,,,,,,,,,,,,4:35.56,4:06.64
Joao Ribeiro,,,,,,,,4:29.61,4:26.44,,,,,,
Nikita Kostyuchenko,,,4:32.96,4:29.56,,4:33.53,,,,4:18.14,,,,,
Yannick Berthoud,,,4:25.05,4:09.17,4:08.38,,,,,,,,,,
Ramon Hürlimann,,,,,,,,,,,,4:15.93,3:57.25,3:56.04,4:07.09
Noah Risi,,,,,,,,,5:26.30,4:53.34,4:59.07,,,,
Igor Hungerbühler,,,,,,,,,,4:43.00,4:32.16,4:19.42,4:14.86,4:20.34,
Michael Sehorsch,,,5:13.27,,,,,,,,,,,,
Roland Sidler,4:58.90,4:59.66,4:47.02,4:44.51,4:57.90,,4:58.77,5:07.89,,,,,,,
Roland Ramsauer,5:10.34,,,,,,,,,,,,,,
Ramon Joller,,,,,,,,,,,,5:22.57,5:31.71,,
Nico Wüthrich,,,,,,,,,,,,,5:23.42,,
Ramon Huber,,,,,,,,5:10.18,,,,,,,
Patrick Herger,4:38.09,,,,,,,,,,,,,,
Noé Bolinger,,,,,,,,,,,,4:38.31,,,
Wehliye Keynan,,,,,,,4:06.64,4:25.70,,,,,,,
Silas Keller,,,,,,,,,,,5:08.14,5:11.30,4:59.41,4:55.85,5:27.05
Elias Bührer,4:14.00,4:09.08,,,,,,,,,,,,,
Jan-Niklas Kreppke,,,4:28.66,4:15.94,,,,,4:09.17,,,,,,4:17.48
Max Studer,,,,,,,4:26.56,,,,,,,,
Antoine Aubry,4:09.90,,,4:53.05,,,,,,,,,,,
Alexandre Vouilloz,,,,4:42.89,4:26.75,4:23.61,4:30.97,,,,,,,,
Paul Maurer,,,,,,,,,,,,,,,4:43.12
Fabio Senti,,,5:10.74,5:00.35,4:55.32,,,,,,,,,,
Fabian Schaad,,,,,,,,,,4:51.24,,,,,
Christian Winter,4:12.07,4:19.76,,,,,,,,,,,,,
Lukas Rüegger,,,,,,,,,4:38.20,4:17.56,4:10.64,,,,
Fabio Gees,5:24.97,5:24.74,,,5:27.50,,,,,,,,,,
Peter Gebhardt,5:50.59,5:19.91,,,,,,,,,,,,,
Nicolas Kaelin,,,,,5:01.10,,,,,,,,,,
Yves Crettaz,,,,,,4:47.97,5:01.71,4:55.48,,,,,,,
Matthew Schweiger,,4:30.11,4:31.96,4:34.24,4:33.80,4:36.85,4:36.16,,4:47.35,4:46.45,4:54.75,4:42.36,4:54.98,,
Colin Wirz,,,,,,,,6:07.73,,,,,,,
Charles Simon-Vermot,,,,,6:53.99,,,,,,,,,,
Frédéric Oberli,,,4:26.25,4:33.48,4:33.58,4:43.99,,4:38.71,4:35.09,4:35.63,4:34.91,4:35.85,,,4:59.21
Alexander Drews,,,,,,,,,,,,,6:17.10,,
Theophile Puemi,,,,4:48.52,,,,,,,,,,,
Manuel Sigg,,,,,,,,,,,,,,4:50.21,4:21.97
Pirijan Pulenthiran,,,,,,,,,,,,,,5:59.74,
Fridolin Riegg,4:40.19,,4:24.62,,,,,,,,,,,,
Massimo Demarco,,,,,,,,,,,,4:36.01,,,
Romain Luescher,,,,,,4:25.15,4:06.64,3:58.66,3:54.63,3:53.37,,,3:55.87,3:58.88,
Jens-Michael Gossauer,,,,,4:15.16,4:11.93,4:03.43,4:08.07,,,,,,,
Patrick Preisig,5:30.16,,,5:37.86,,,,,,,,,,,
Xavier Kolly,,,,,,,,,,,,,,4:15.74,4:02.16
Rolf Rüfenacht,3:54.78,4:01.07,3:57.15,3:56.76,3:50.19,3:53.67,3:51.42,,,,,,,,
Joel Koch,,,,,,5:23.46,,,,,,,,,
Raphael Bütikofer,,,4:45.46,,,,,,,,,,,,
Marc Balogh,,,5:02.37,4:56.95,,,,,,,,,,,
Josef Dobler,4:49.91,5:00.20,4:59.51,,,,,,,,,,,,
Lukas Naef,,,,,,,,,,,,,5:24.96,,5:00.15
Geoffroy Brändlin,,,,,,,,,,4:44.93,4:33.76,4:42.21,,,
Marco Tanner,,,,,5:17.12,4:55.60,,,,,,,,,
Matthias Geiser,,4:52.11,,,,,,,,,,,,,
Noah Theiler,,,,,,,,,,,,4:57.63,,,
Flavio Mehli,,4:56.31,,,,,,,,,,,,,
Léo Berret,,,,,,,,,,,,,,5:44.95,5:24.53
Marnix Engels,,,4:05.24,,,,,,,,,,,,
Markus Meier,,,,,,4:53.27,,,,,,,,,
Andreas Kuster,4:46.20,,,,,,,,,,,,,,
Loïc Maret,,,,,,,,,,4:18.87,4:33.46,,,,
Lukas Maiori,,,,,4:52.74,4:47.91,5:01.47,,,,,,,,
Andrin Schneider,,,,,,,,,5:23.44,5:00.83,4:59.11,4:52.79,4:51.75,5:19.44,5:00.51
David Schöpfer,,,,,4:25.68,4:18.59,,4:09.43,4:06.16,,3:57.90,,,,
Jonathan Kalberer,,,,,,,,,,,4:31.93,4:29.28,4:22.65,,
Kevin Vogel,,,5:04.33,,,,,,,,,,,,
Patrick Manser,,,,,,,,5:19.71,,,,,,,
Andreas Kern,4:11.71,,5:12.38,,,,5:12.95,,,,,,,,
Marcel Denzler,,,4:49.95,,,,,,,,,,,,
Emile Monin,,,,,,,,,4:44.63,4:43.54,,,,,
Adrian Kammer,4:11.24,,,,,,,,,,,,,,
Mael Medero,,,,,,,,,,,,,,,4:40.32
Maurin Buschor,,,,,,,,,,,,4:58.79,,4:52.52,
Peer Zeller,,,,,,,,,,,,,5:04.53,,
Matthias Ballaman,4:03.84,,3:54.48,,,,,,,,,,,,
Simon Molinari,,,,,,,,,,,5:19.76,,,,
Michael Dettling,4:49.73,4:47.72,4:51.63,,,,,,,,,,,,
Roberto Simone,4:13.29,4:06.89,4:05.33,4:08.58,4:14.51,4:17.94,,,3:57.50,3:57.97,3:58.41,4:00.81,4:04.34,4:10.51,4:09.05
Giacomo Tognolatti,,,,,,,,,,,,,,4:48.50,
Christian Lenk,3:47.48,,,,4:03.54,,,,,,,,,,
Raphael Amrein,,,,,,,5:01.56,,,,,,,,
Raffael Huber,,,,,,,3:58.57,,3:57.81,,,,,,
Thomas Preisig,,,,5:24.22,,,,,,,,,,,
David Burgener,,,,,,,,,,,,4:20.56,,,
Manuel Amrein,,,,,,,,,,,4:35.18,4:18.54,4:24.90,,
Siro Balestra,,,,,5:44.55,,,,,,,,,,
Fabien Kaiser,,,,,,,,,,,,4:23.36,4:10.24,4:05.91,
Alain Denzler,,,,,,,,,,,,,4:05.77,4:03.13,
Nicolas Strahm,4:51.78,5:08.68,,,,,,,5:54.13,,,,,,
Bryan Corbaz,,,,,,4:33.03,4:17.36,4:18.21,4:23.15,4:19.19,,,,,
Urs Schönenberger,,,,,,,4:00.05,3:59.72,3:56.62,3:52.22,3:56.33,3:50.73,3:55.26,3:50.97,3:47.27
Philipp Weissenberger,,,,4:33.78,,,,,,,,,,,
Benjamin Badoux,,6:03.98,5:21.44,5:06.24,5:35.63,,,,,,,,,,
Reto Pfyl,,,,,,,,4:59.48,,,,,,,
Mitiku Megueressa,3:59.19,,4:10.35,,,,,,,,,,,,
Gian-Andrea Antener,,,,,,,,,,,,,,4:28.07,
Mirco Gähler,5:06.70,5:05.91,4:53.36,,,,,,,,,,,,
Patrick Aebischer,4:36.44,4:34.12,,,,,,,,,,,,,
Fabian Weibel,,,,,,,,4:41.37,4:49.79,4:42.41,4:40.53,,,,
Patrick Meier,4:10.48,4:08.71,4:11.30,,4:05.70m,4:04.33,,,,,,,,,
Mathieu Benninghoff,,,,,,,,,,,4:30.71,4:25.33,4:22.05,4:19.77,
Michael Plüss,4:05.08,,,,,,,,,,,,,,
Ivanoé Pittet,,,,,4:26.83,4:21.57,4:19.26,,,,,,,,
Marco Dörig,,,,,5:08.62,,,,,,,,,,
Efrem Samiel,,,,,,,,,4:47.74,,,,,,
Lukas Hertel,,,,,,,,,,,,4:39.81,4:38.15,,
Loïc Droz,4:39.30,,,,,,,,,,,,,,
Martin Schneider,,,4:38.20,4:27.90,,,,,,,,,,,
Daniel Senn,,,,,5:20.85,,5:32.99,5:13.32,5:12.91,,5:22.46,5:22.07,,,
Noah Gross,,,,,,,,,,,,,,5:58.91,
Gabriele Cresta,,,,,,,4:33.09,4:25.18,4:29.48,,,,,,
Andrin Huber,,,,,,,,,,,,,,,4:36.74
Matthias Annaheim,,4:08.56,4:04.21,,,,,,,,,,,,
Pascal Pauli,4:41.23,4:37.06,4:53.58,,,,,,,,,,,,
Pino Pilotto,5:26.51,5:50.44,5:57.74,6:15.17,6:27.33,5:49.00,5:46.31,6:08.92,,,,,,,
David Schneider,,,,4:25.83,,,,,,,,,,,
Pierre de Voogd,4:58.81,,,,,,,,,,,,,,
Stève Canapini,4:10.30,,,,,,,,,,,,,,
Reto Schwengeler,3:50.97,,,,,,,,,,,,,,
Raphael Holdener,,,,,4:55.55,4:53.01,4:49.57,4:45.62,4:38.22,4:44.50,4:44.74,4:48.70,4:39.52,4:38.83,4:37.27
Jean-Marc Cattori,4:11.34,,,,,,,,,,,,,,
Marco Biland,,,,,,,,,,,,4:54.79,4:53.38,4:49.73,5:07.02
Lutz Körner,,,,,,4:11.07,,,,,,,,,
Christian Vetsch,,,,,6:38.17,,,,7:05.02,7:02.95,,,,,
Mattia Zanelli,,5:46.87,,,,,,,,,,,,,
Gioele Turuani,,,,,,,,,,,,4:52.81,4:50.16,4:51.61,
Michel Vergeres,,,,,,,,,,5:20.73,,,,,
Patrick Zimmermann,,,,,6:01.74,5:37.98,,,,,,,,,
Mario Schmidli,,,5:26.10,,,,,,,,,,,,
Mike Buob,,,,,,,,,,,,,,4:55.47,4:45.20
Laurent Haller,,,,,,,,,,,,4:36.55,4:28.35,4:25.32,4:12.39
Lukas Molnar,,,,,,,,,,,,,,,4:10.79
Lukas von Stokar,,,5:08.10,,,,,,,,,,,,
Julien Maret,,4:45.16,,,,,,,,,,,,,
Andreas Muff,,,,,,,,,,,,,,,4:27.88
Thomas Füchslin,6:24.26,,,,,,,,,,,,,,
Marcel Briggen,,3:58.33,3:57.81,4:02.52,3:59.03,,3:58.34,4:05.16,3:59.90,4:00.48,4:08.81,,,,
Douglas Kondro,,,,,,,,,4:18.70,,,,,,
Julien Andrey,,4:07.43,,,,,,,,,,,,,
Pascal Keller,,5:52.46,,,,,,,,,,,,,
Stefan Hefti,4:08.34,,,,,,,,,,,,,,
Tim Bezemer,,,,,,,,,,,,5:31.60,5:25.77,5:30.21,
Jan Rüttimann,,,,,,,,,,,,,,4:04.42,4:00.71
Patrick Arnold,,,,,,,4:40.82,4:47.92,4:39.58,,,,,,
Joël Caloz,,,,,,,,,,,,,,,4:12.23
Simon Ehammer,,,,,,,,,,5:30.58,5:10.18,4:54.22,4:47.36,4:56.91,4:42.54
Domenik Meier,,,,,,,,4:20.19,4:14.56,4:36.13,4:40.51,4:37.62,,4:33.14,
Fabio Ernst,,,,,,,,,,,,,5:33.91,,
Alexis Faucheur,,,,,,,,,,,,,,4:20.66,
Robin Schneider,,,,,,,,,,5:16.68,,,,,
André Hochreutener,,5:39.84,5:54.08,,,,,,,,,,,,
Fabian Ziehli,,,,,,,,4:47.59,,,,,,,
Thomas Curiger,,,,,,,,,,,,,,,4:05.50
Hugo Santacruz,4:20.50,4:26.68,4:39.57,4:26.07,4:28.23,,,,3:51.36,,4:00.55,,,,
Dylan Ritzmann,,,,,,,,,,,,,,,4:21.19
Manuel Tschann,5:01.85,,5:09.90,,,,,,,,,,,,
Balthasar Larisch,,,,,,,,,,,,,,,4:33.31
Christian Föhn,5:00.72,,,,,,,,,,,,,,
David Gervasi,,4:39.15,4:38.07,4:59.58,,,,,,,,,,,
Nicolas Hirsbrunner,,,,,,,,,,,,,,,4:44.27
Gilian Bruchez,4:16.01,4:11.96,,,,,,,,,,,,,
Lionel Gaillard,,,,,,,,,,5:15.89,,,,,
Matthias Faivre,,,,,,,,4:17.76,,,,,,,
Miguel De Blaireville,4:31.96,4:16.24,4:26.64,,,,,,,,,,,,
Felix Huber,4:42.59,,,,,,,,,,,,,,
Patrick Minder,5:22.10,,,,,,,,,,,,,,
Leandro Kick,,,,,,,,,,,,,,4:52.91,
Till Zihlmann,4:56.22,4:46.64,,,,,,,,,,,,,
Jari Piller,4:31.51,4:13.91,4:10.10,4:08.72,4:00.87,,4:01.30,4:04.83,,,,4:19.56,,,
Kevin Hangartner,,,4:42.98,,4:17.92,,,,,,,,,,
Matthias Ferrari,,,,4:25.55,,,,,,,,,,,
Bastien Délèze,,,,,5:07.33,,,,,,,,,,
Angus Fölmli,,,,,,,,4:27.26,4:07.51,4:00.50,3:57.86,4:00.87,3:55.69,3:51.69,3:46.54
Maël Guex,,,,,,,,,,,,4:40.58,,,
Patrik Wägeli,,,,4:28.55,,,,,,,,,,,
Christophe Jansen,,,4:46.30m,,,,,,,,,,,,
Guilherme Santos,,,,,,,,,,,,,4:06.59,4:08.29,
Niccolò Ron,,,,,,,,,,,,,5:30.57,,
Raphael Huber,,,,,,6:26.66,,,,,,,,,
Lucas Nanchen,,,,,,4:54.67,4:57.86,,,,,,,,
Raphael Alliot,,,4:26.08,4:19.82,,,,,,,,,,,
Fabian Egger,,,,,,,,,4:22.43,4:22.85,4:21.62,,,,
Julian Gundi,,,,,,,,,,,4:26.56,4:32.42,4:21.52,,
Ilias Hernandez,,,,,,,3:59.81,3:56.03,3:53.03,3:51.49,3:50.21,,3:47.01,3:53.03,3:59.38
Roger Galliker,5:02.64,,,,,,,,,,,,,,
Cyrus Godarzi,,,,4:24.29,,,,,,,,,,,
Lukas Zulauf,,,,,,,,4:44.12,4:35.61,,,,,,
Lino Wunderlin,,,,,,,,,,,5:02.60,5:02.97,,,5:06.03
Tedros Sium,,,,,,,,,,,,4:31.34,,,
Yann Jean-Mairet,,,,,5:14.77,,,,,,,,,,
Lars Thomas Hasler,,,,,,,,,,5:11.48,,,,,
Ramon Treier,,,,,,,,,,,5:19.74,,,,
Habtom Amaniel,,,,,,,,,,,,,,,3:54.21
Tiziano Malandrini,,4:57.61,4:51.92,,,,,,,,,,,,
Jan Aregger,,,,,,4:33.28,,,,,,,,,
Leonardo Rodoni,,,,,,,,5:14.08,,,,,,,
Saâd Dhif,,4:47.61,4:29.90,4:26.94,4:38.08,,,,,,,,,,
James Cullen,,,,,,,,,,,,,,4:29.47,4:14.62
Basile Zanasco,,,,,,,,,,,,4:51.82,,,4:57.96
Santiago Forster,,,,,,,,,,,,,,4:58.46,5:04.61
Sven Scheu,,,,,,,,,,,5:03.93,4:57.90,5:04.16,,
Daniel Saguer,,4:29.08,4:20.11,,,,,,,,,,,,
Nathan Wanner,,,,,,,,,,,,4:10.87,4:04.79,,3:56.46
Jeremy Nathan,,,,,,,,,,,5:05.12,,,,
Jan Stouthandel,,,,,4:37.82,,,,,,,,,,
Mike Gaugler,,,,,4:24.63,,,,,,,,,,
David Bertschi,4:05.85,,,,,,,,,,,,,,
Tekhlit Knife,,,,,,,,,,,,,,4:39.39,4:39.13
Abdellatif Elaloiani,,,,,,,,,,3:44.42,,,,,
Jan van Berkel,,,,,4:06.50m,,,,,,,,,,
Steve Cotting,,,4:48.25,4:12.14,,,,,,,,,,,
Roland Fausch,,,,4:33.02,4:32.39,4:27.30,4:43.95,4:47.03,,,,,5:03.16,,
Pascal Isenschmid,4:34.09,,,,,,,,,,,,,,
Fabian Rupp,4:04.33,,,,,,,,,,,,,,
Filippo Moggi,,,,,,,,,,5:03.14,,,,,
Julian Hegg,4:26.05,,,,,,,,,,,,,,
Andreas Hug,,4:29.35,,,,,,,,,,,,,
Benjamin Kern,,,5:29.74,,,,,,,,,,,,
Andreas Elliker,4:09.77,,4:07.79,4:07.90,,4:14.60,,,,,,,,,
Matthäus Tschirky,,4:34.84,4:27.96,,,,,,,,,,,,
Germain Tornare,,5:45.61,5:11.16,,,,,,,,,,,,
Adrian Karrer,4:02.17,,3:57.91,4:00.22,,,,,,,,,,,
Christian Kreienbühl,,,,,,3:54.04,3:50.97,,,,,,,,
Valdet Dinaj,,,,,,,4:34.64,,,,,,,,
Jorell Jackson,,,,,,,,,,,,,5:50.24,,
Sergio Grond,,,,5:18.48,5:21.80,5:16.31,,5:22.79,,,,,,,
Zeresenay Michiel,,,,,,,,4:31.81,4:27.18,4:15.14,,4:15.02,,,
Pascal Obrecht,,,4:55.22,,,,,,,,,,,,
Laurent Schenker,,,,,6:32.17,,,,,,,,,,
Mattia Valentini,,,4:25.87,4:30.00,,,,,,,,,,,
Flavio Krähenmann,,,4:51.50,,,,5:04.64,,,,,,5:10.67,,
Morris Deiss,,,,,,,,,,,,,,,4:27.74
Angelo Melera,,,,,,,,,,,4:24.48,4:21.14,,,
Kariem Hussein,,,,4:43.35,,,,,,,,,,,
Yannick Jabas,4:15.18,,4:25.25,4:25.55,,,,,,,,,,,
Pal Johansen,,,,,5:37.17,,,,,,,,,,
Tobias Anderer,,4:43.39,4:28.37,,,,,,,,,,,,
Tadesse Abraham,,3:56.72,,,,,,,,4:01.98,,,,,
Antoine Juillerat,,,,,,,,,4:40.14,,,,,,
Silvio Bartucca,,,,,,,,,,,,,4:55.79,4:49.99,
Mathias Catillaz,,5:26.94,,,,,,,,,,,,,
Christian Aeschlimann,,,,,,5:38.30,5:09.93,,,,,,,,
Christoph Ryffel,4:14.07,4:02.97,3:57.68,3:53.24,3:48.38,3:55.63,3:46.85,,,,,,,,
Zouhair Oumoussa,,,,,3:55.86,3:51.83,,,3:50.85,,,,,,
Nicolas Salvadé,,,,,,,,4:21.57,,,,,,,
Emmanuel Repond,,,,,5:13.29,,,,,,,,,,
Stephan Lowiner,3:51.14,3:51.59,4:08.78,,4:04.00m,,,,,,,,,,
Arthur Spycher,,,,5:45.57,,,,,,,,,,,
Léo Lädermann,,,,,,,,,,,4:35.52,4:24.46,4:12.80,4:07.43,4:02.61
Ricardo Pinto,,,,,,,,,,,,4:22.13,4:18.18,,4:14.37
Roman Meier,,,5:14.41,,,,,,,,,,,,
Marc Buchheit,5:14.18,5:16.40,,,,,,,,,,,,,
Simon Kellerhals,,,5:08.14,5:09.67,,,,,,,,,,,
Lukas Aeschlimann,,,,,,,,,5:54.31,,,,,,
Dario Salvi,,,,,,,,,,4:58.24,,,,,
Jonas Duss,,,,,,,,,,,,,4:31.92,4:30.94,
Simon Käser,,,,4:31.25,4:22.99,,,,,,,,,,
Beni Kern,,,,,,,,,5:34.33,,,,,,
Sascha Nikolic,,5:28.79,,,,,,,,,,,,,
Mano Ségransan,,,,,,,,,,,,4:57.21,,,
Severin Herren,,,,,,,,,,,,,,5:48.31,5:38.14
Mareks Moro,,,,,4:53.00,,,,,,,,,,
Sebghatullah Ismail,,,,,,,,,,,,,4:02.09,4:06.46,4:00.98
Tewelde Mehari,,,,,,,5:16.83,,,,,,,,
Dominik Alberto,,,,5:03.63,5:00.23,4:54.52,4:57.14,4:59.27,4:49.68,,,5:05.28,,,
Marco Guidali,4:18.09,,4:09.45,,4:10.10m,,,,,,,,,,
Kiflay Mengestabe,,,,,,,,,,,,4:06.23,3:57.01,3:58.00,3:55.62
Lucien Segessemann,,5:07.48,5:02.31,5:00.16,,,,,,,,,,,
Mario Gächter,,,,,,,,,4:51.21,,,,,,
Sium Zerehannes,,,,,,,4:29.53,4:08.66,4:03.54,4:03.34,4:02.70,3:58.19,,,
Cornel Inglin,5:12.98,5:50.76,,,,,,,,,,,,,
Aaron Kartje,,,,,,,,,,,4:47.70,4:31.28,,,
Thomas Gabriel Beck,5:11.58,,,,,,,,,,,,,,
Mathias Vauthey,,,,,,,4:58.38,,,,,,,,
André Nussbaumer,,,,,,4:33.85,4:30.89,,,4:39.39,,,,,
Kilian Savioz,,,,,,,5:25.70,5:23.17,,,,,,,
Kevin Fabbi,4:16.76,,,,,,,,,,,,,,
Lorenzo Pawlowski,,,4:34.34,,,,,,,,,,,,
Samuel Gampp,,,,5:17.39,5:06.85,,,5:21.83,5:13.86,5:29.64,,,,,
Flavio Ranzoni,,,,,,5:21.34,4:59.62,4:44.34,4:23.75,4:21.14,,,,,
Stefano Battaglia,4:24.35,4:22.34,4:12.46,4:14.96,4:09.13,,,,,,,,,,
Joshua Leuenberger,,,,,,,,5:05.09,,,,,,,
Carlo Donati,4:41.15,,4:23.63,,,,,,,,,,,,
Fabian Loosli,,,,,5:03.73,4:54.70,,,,,,,,,
Reto Christen,4:53.90,,,,,,,,,,,,,,
Philipp Mühlebach,,,,,,,,4:23.77,4:25.43,,,,,,
Romain Fardel,,,,4:24.76,,4:12.92,,,,,,,,,
Julien Mézier,,,,5:05.42,,,,,,,,,,,
Kendry Rosa Jimenez,,,,,,4:38.17,4:22.87,,,,,,,,
Timo Roth,,,,,,,,,,,,,4:05.79,4:11.09,
Nils Gasparini,,,4:12.01,4:12.57,4:26.41,,,,,,,,,,
Richard Greiner,,4:07.94,,,,,,,,,,,,,
Ivo Müller,,,,,,,,,,,,5:38.79,,,
Nathan Bender,,,4:58.84,,,,,,,,,,,,
Francois Michellod,4:08.94,4:08.93,4:27.13,4:09.61,4:23.86,,4:18.75,,,,,,,,
Marc Brunner,,,,,,,5:04.14,,,,,,,,
Marco Odermatt,,,,,,,,,4:48.92,4:45.43,,,,,
Eric Maier,,,,,,,,,,,,,5:13.80,5:17.89,5:16.93
Manuel Stehli,,4:41.94,,,,,,,,,,,,,
David Terbois,,,,,,,,4:56.42,,4:33.98,,4:35.25,,,
Lukas Mattle,,,,,,,,5:18.55,,,,,,,
Tim Aubert,,,,,,,4:29.60,4:32.06,4:34.13,,,,,,
Gabriel Pacheco,,,,,,,5:08.49,,,,,,,,
Loïc Nuoffer,,,,,,,,,,,,,,4:47.01,
Ueli Frey,4:26.98,,,,,,,,,,,,,,
Yan Volery,,,,,,,,,4:39.86,4:21.53,4:12.53,3:59.18,3:55.21,,3:56.44
Till Eigenheer,,,,4:20.32,4:25.73,,,,,,,,,,
Simon Sieber,,,,,5:21.67,,,,,,,,,,
Yannick Jeanmaire,,,,,,,4:14.86,,,,4:12.37,4:06.44,4:09.12,4:22.09,
