Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Allan Bonjour,,,,,,,,,,,,,,9:55.20,10:10.89
Urs Schönholzer,,9:59.55,9:46.55,,9:58.93,10:21.52,10:07.87,,10:16.12,,,,,,10:50.80
Ueli Küttel,9:57.69,10:05.47,11:14.99,10:55.96,11:13.04,11:13.56,11:19.43,,,,,,,,
Dominic Meier,,,12:23.64,,,,,,,,,,,,
Leon Berthold,,,,,,,,,,,,,,9:17.20,9:21.44
Roberto Simone,10:39.70,10:23.04,10:57.18,,,,,,,,,,,,
Thomas Brügger,10:34.25,,,,,,,,,,,,,,
Fabian Bligh,,,,,,,,,12:17.44,,,,,,
Maxime Walt,,,,,,,,,,,,,,9:57.87,10:16.98
Gabriele Cresta,,,,,,,,,11:24.27,,,,,,
Yonas Mekonen,,,,,11:44.45,,,,,,,,,,
Vincent Bessard,11:01.50,11:00.43,,,,,,,,,,,,11:53.81,
Pino Pilotto,,15:18.91,,,16:40.87,,,,,,,,,,
Jari Piller,,,9:39.63,10:01.07,9:29.86,,9:32.61,,9:35.15,9:20.58,9:21.78,9:38.99,,9:19.43,
Simon Hodler,,9:56.46,,,,,,,,,,,,,
Christoph Graf,,,,,,9:22.26,9:07.58,,,,,9:11.21,,9:03.96,
Yves Cornillie,,,,,,,,,,,,10:15.64,,9:50.29,
Nicolas Geinoz,11:35.24,,,,,,,,,,,,,,
Christian Reduce,,,,11:48.92,,,,,,,,,,,
Gabriele Bianchi,,,,,12:27.82,13:37.28,12:36.44,,,,13:01.42,,,13:06.61,
Samuel Keller,,,,,,,,,,,9:58.58,,,10:18.41,
Benjamin Schaub,,11:05.79,9:46.49,9:50.70,,,,,,,,,,,
David Bertschi,10:36.62,,,,,,,,,,,,,,
Michael Stöckli,,,,11:22.25,,,,,,,,,,,
Thomas Perraudin,,,,,11:41.60,,,,,,,,,,
Raphael von Vivis,,,12:28.10,12:06.07,,,,,,,,,,,
Stephen Staehli,9:05.69,,9:45.45,,,,,,,,,,,,
Pierre-André Ramuz,10:03.14,10:16.69,,9:46.61,9:59.64,9:24.69A,9:34.99,,,,,,,10:11.26,
Alain Croisier,,,,,,,,,,,,,,9:32.59,9:31.51
Julien Andrey,,9:32.68,,,,,,,,,,,,,
Michael Curti,,,,,10:13.94,,,,,,,,,,8:45.84
Francois Michellod,,,,11:28.34,11:02.71,,,,,,,,,,
Philipp Bandi,9:06.01,,,,,,,,,,,,,,
T-Roy Brown,,,,,,,,,,,,,,,9:46.69
Christoph Menzi,,,9:32.46,,,,,,,,,,,,
Olivier Gloor,9:36.19,,,,,,,,,,,,,,
Lionel Ballif,,,,12:11.86,,,,,,,,,,,
Marc Lenhard,,,,,,,,,,,,,,,14:06.92
Simon Tesfay,,,,9:23.83,,,,,,,,,,,
Yassine Dhif,10:08.64,,,11:00.50,,,,,,,,,,,
Remo Wyss,,,,,,,,,,10:17.29,,,,,
Alexander Rubin,,,,,11:05.60,,,,,,,,,,
Pascal Wintsch,,11:32.78,,,,,,,,,,,,,
Jan Köstinger,,12:03.56,,,,,,,,,,,,,
Alexis Giraudineau,,,,,,,,,,,,,,,9:50.76
Antoine Métrailler,,,,,,,,,11:39.63,11:40.34,,,,,
Mohammed Boulama,,,,,,,,,,,9:00.72,,,,
Daniel Saguer,,11:13.95,,,,,,,,,,,,,
Cédric Bouele,,11:06.62,11:16.97,12:05.78,11:09.62,,,,11:01.22,,11:23.43,13:22.89,,13:46.05,
Antoine Aubry,9:48.02,,,,,,,,,,,,,,
Yassin Benhamza,,,12:52.41,,,,,,,,,,,,
Kevin Meierhofer,,,10:18.76,,,,,,,,,,,,
Antoine Juillerat,,,,,,,,,11:58.95,,,,,,
Loris Pellaz,,,,,,,,,,,,,,,9:16.10
Dominik Herren,,,,,,,,,,,,,,,9:22.34
Bjarne Kölle,,,,,,,,,,,,9:39.67,,9:36.10,
Bryan Corbaz,,,,,,,10:54.26,,,10:41.17,,,,,
Markus Peter,,9:58.48,,,,,,,,,,,,,
Ivan Pongelli,,,,10:12.74,,,,,9:52.29,,,,,,
Thomas Huwiler,,10:21.86,10:07.73,9:50.32,,,,,,,,9:45.53,,,
Patrick Meier,,,,9:39.83,9:56.37,,,,,,,,,,
Joseph Bruegger,10:32.79,,,,,,,,,,,,,,
Matteo Tamagni,,11:17.99,9:55.78,,,,,,,,,,,,
Markus Hagmann,9:00.40,8:57.47,9:21.19,9:21.54,9:23.17,9:15.96,,,,,,,,,
Patrick Pauchard,,,11:30.14,11:20.99,11:21.23,,,,,,,,,,
Kendry Rosa Jimenez,,,,,,,11:03.77,,,,,,,,
Derek Buccassi,,,,,,,,,,,,,,9:37.40,
Matthias Faivre,,,,,,,,,10:29.10,,,,,,
Thibault Niederhauser,,,,,,,,,,,11:10.02,,,,
Christian Winter,9:53.25,,,,,,,,,,,,,,
Patrick Rohr,,,,10:45.60,,9:28.52,,,8:59.03,8:55.79,8:57.19,8:54.22,,9:08.84,
Pierre Perruchoud,,,,,,,,,,,,,,,9:26.55
Steven Marshall,,10:10.68,9:47.79,,,,,,,,,,,,
Adrian Karrer,9:12.86,9:30.22,9:23.35,9:15.56,,,,,,,,,,,
Adrian Caaveiro,,,,10:41.54,11:07.52,,,,,,,,,,
Nick Gutmann,,,,,,,,,,,,,,,10:48.52
Patrik Bryner,,,,10:38.27,,,,,,,,,,,
Marco Kern,,,,,,,8:55.10,,9:25.10,,,,,,
Othmar Bruegger,10:22.15,,,,,,,,,,,,,,
Thomas Bättig,,,,12:19.07,,,,,,,,,,,
Nicolas Repond,,,,,,,10:18.93,,,,,,,,
Kevin Bühler,,,,,,,10:24.91,,,,,,,,
Joseph Ramuz,,12:10.59,,,,,,,,,,,,,
Marcel Berni,10:37.64,,,,,,,,,,,,,,
Elia Stampanoni,,10:17.55,10:13.31,10:09.32,10:30.38,,,,,,,,,,
Adriano Engelhardt,,,,,9:58.39,9:29.72,9:09.34,,8:56.54,,9:32.26,9:22.05,,,
Simon Porras,,,,,,,,,,9:36.47,9:58.27,9:11.71,,,
Janik Niederhauser,,,,,,,9:52.32,,,,,,,,
Paul Waroquier,,,,,,,,,9:37.64,,,,,,
Samuel Ding,12:27.55,,,,,,,,,,,,,,
Frédéric Oberli,10:44.40,10:25.76,10:11.44,10:55.28,10:48.90,,11:40.83,,10:47.49,11:03.15,10:53.80,,,,
Zeresenay Michiel,,,,,,,,,,,,9:52.57,,,
Lorenzo Dalessi,,,,,,,11:35.22,,,,,,,,
Johannes Morgenthaler,9:07.59,9:07.63,8:54.52,9:05.64,9:03.22,9:05.99,9:30.69,,9:22.67,9:30.84,,,,,
