Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Milyon Layne Habtemariam,,,,,,,,32:43.50,,,,,,,
Marco Kern,,,,,,,,,,,,,,,30:49.35
Christoph Ryffel,,,,,,29:35.32,29:31.85,,,,,,,,
Jérôme Epiney,,,,,,,,,,33:57.46,33:54.86,,,,
Kidane Tewelde Kiflezghi,,,,,,,,,,,35:54.95,32:19.46,,,
Cornel Brunner,,,,,,,,,,,36:28.57,36:35.05,,,
Jost Joller,,,,,,33:51.53,,,,,,,,,
Marco Oberti,35:29.34,,,,,,,,,,,,,,
Erich Huber,,33:33.14,35:07.34,33:59.50,33:58.67,33:09.95,32:57.44,32:36.11,,,33:34.51,,,,
Christian Mathys,,,,,,,,30:51.28,,,,,31:14.41,,30:17.33
Patrick Pauchard,,,44:30.53,41:52.26,,,,,,,,,,,
Jonathan Amy,,,,36:01.28,,36:47.09,,,,,,,,,
Stefan Müller,,32:02.29,,,,,,,,,,,,,
Mohamednur Hamd,,,,,,,30:49.82,,,,,,,,
Alexandre Roch,,,,,,,30:52.78,30:42.55,,,,,,,
Joël Thürler,38:07.29,,,,,,,,,,,,,,
Pascal Ungersböck,,,,,,,,31:44.61,,,,,,,
Alain Wüthrich,,,33:30.70,,,,,,,,,,,,
Martin Zürcher,,,,,,,,,,,,,,,32:11.69
Dieter Borer,,40:04.69,,,,,,,,,,,,,
Luc Grangier,35:13.93,,,,,,,,,,,,,,
Giulio Gadola,35:39.18,,,,,,,,,,,,,,
Christoph Steinbacher,,,,,,,33:56.73,,,,,,,,
Cédric Lehmann,,,,,,,,,,33:19.63,,,,,
Andreas Kempf,,,,,,,,,,,31:16.93,29:42.64,30:28.76,,29:54.26
Michel Mertenat,,39:41.57,,,,,,,,,,,,,
Ueli Bieler,,,,,,,,35:14.44,,,,,,,
Dominik Rolli,,,,,,,,,,,,,,,29:30.80
Bruno Invernizzi,,,,33:51.51,,,,,,,,,,,
Beat Blättler,33:33.20,33:05.19,,,,,,,,,,,,,
Amedeo Caflisch,,,,,,38:37.39,38:19.43,,,,,,,,
Ulisses Joos,,,,,32:51.26,31:51.13,31:45.02,31:08.75,,,32:06.39,31:49.87,33:43.24,,
Marcel Berni,,,,,,30:37.10,29:56.12,30:26.86,,30:36.41,29:56.66,,,,30:53.87
Jens-Michael Gossauer,,,,,,,33:01.22,,,,,,,,
Gilles Boucher,,37:16.07,,,,,,,,,,,,,
Patrick Clément,34:24.50,,34:03.06,,34:20.10,,,,,,,,,,
Christoph Seiler,32:20.04,,,,,,,,,,,,,,
Kim Tucker,,,,,,,,,,,39:01.36,,,,
Philipp Bandi,29:47.67,,,,,,,,,,,,,,
Bastien Schweickhardt,,,,,,,,,,,33:10.24,33:38.64,,,
Luca Foglia,35:09.99,,,,35:36.99,35:09.62,36:20.06,36:39.04,,,,,39:34.24,,
Silvio Gadola,34:44.24,,,,,,,,,,,,,,
Elpidio Iannello,,,56:14.42,53:49.97,,,,,,,,,,,
Florian Lussy,,,,,,,,,,,,,31:14.20,,30:37.79
René Hauser,32:21.83,,,,,,,,,,,,,,
Stephen Staehli,,,,,31:08.60,,,,,,,,,,
Lukas Stähli,,,,31:31.17,30:58.64,,,,,,,,,,
Joel Drittenbass,,,,,,32:36.85,32:47.00,,,,,,,,
Pascal Bucher,,,,,,,,32:34.99,,33:28.45,33:27.86,,,,
Jan Rüttimann,,,,,,,,,,,,,,,31:27.52
Renato Gnos,,40:10.28,,,,,,,,,,,,,
Bernard Terreaux,35:39.53,,35:51.28,,,,,,,,,,,,
Hans Reichenbach,,,,,32:42.34,,,,,35:58.53,39:16.89,,,,
Hafid Sehgrouchni,35:44.80,,,,,,,,,,,,,,
Florian Suter,,,,,34:34.42,33:25.51,,,,,,,,,
Hans-Peter Hirschi,,40:46.08,,,,,,,,,,,,,
Ivan Pongelli,31:10.21,31:49.70,31:32.02,,31:23.54,31:55.67,30:51.59,,,,,,,,
Marc Lenhard,,,,,,,,,,,,,,,51:36.00
Michele Salinetti,33:31.75,34:14.72,,35:24.91,,,,,,,,,,,
Davide Vassalli,,,,,,,,37:16.48,,,,,,,
Sandro Do Nascimento,40:59.97,,,,,,,,,,,,,,
Michael Ott,,,,31:35.27,31:37.30,30:47.57,30:46.57,,,,,,,,
Olivier Messerli,,42:06.29,,,,,,,,,,,,,
Christian Ackeret,,,,,33:26.30,31:45.55,31:07.68,31:54.29,,,34:09.34,32:53.92,,,
Willi Herr,,46:37.53,,,,,,,,,,,,,
Severin Schöb,,,,,37:23.02,,,,,,,,,,
Ali Hakimi,,,,,32:41.80,,,,,,,,,,
Lukas Marti,,,,,,,,,,,,,31:40.70,,
Marc Hegner,,34:39.17,,,,,,,,,,,,,
Patrick Pochon,36:02.65,35:58.62,36:36.55,,,,,,,,,,,,
Frédéric Oberli,,,38:43.32,40:10.58,,,,,,,,39:25.90,,,
Reto Dietiker,,,,,,31:02.97,,,,,,,,,
Jonathan Atse herrera,,,,,,,,,,,,,,,30:40.96
Andrea Salvisberg,,,,,,,,,,,,,,,29:27.36
Hermon Asgedom,,,,,,,,,,,,,,,33:12.04
Peter Kornmayer,,37:02.51,,,,,,,,,,,,,
Bruno Heuberger,30:58.49,,,,,,,,,,,,,,
Jari Piller,,,,,,,,,,,32:38.25,32:05.30,,,
Romain Juillerat,,,,,,,,,,,35:08.40,,,,
Samuel Keller,,,,,,,,32:29.81,,,,,,,
Adrian Stucki,33:19.59,33:43.79,,,,,,,,,,,,,
Bruno Burri,,38:14.98,,,,,,,,,,,,,
Patrik Wägeli,,,,,,,,31:50.56,,,,,30:13.94,,30:14.26
Lutz Körner,,,,,,32:13.47,32:16.87,31:59.61,,,,,,,
Ricardo Pinto,,,,,,,,,,,34:11.63,33:21.13,,,31:54.81
Serge Clement,,41:01.06,,,,,,,,,,,,,
Hansjörg Suter,,,47:28.04,,,,,,,,,,,,
Marcel Tschopp,32:55.41,32:21.09,32:27.18,32:20.50,32:38.04,32:44.74,,,,,,32:20.66,,,
James McMullan,,,,,,,30:54.02,,,,,,,,
Andreas Dietsche,34:15.99,,,,,,,,,,,,,,
Christian Kreienbühl,,,,,30:58.65,30:17.43,30:02.66,29:44.57,,,,,30:08.29,,
Walter Jenni,30:16.01,,,,,,,,,,,,,,
Urs Schönholzer,,,32:12.44,32:38.00,,,,33:27.16,,34:24.38,,,,,
Dimitri Sallin,,,,,,37:09.45,35:20.93,,,34:33.92,,,,,
Adrien Briffod,,,,,,,,,,,,,,,29:57.13
Marius Hasler,34:03.06,,34:03.08,,,,,,,,,,,,
Abdi Salam Ali,,,,,,,,,,,,,,,30:33.22
Umberto Caflisch,37:20.01,,,,,,,,,,,,,,
Abraham Eshak,,,,,31:43.49,,,,,31:45.06,,,,,
Johannes Morgenthaler,,,,,,,,31:11.20,,,,,,,
Fabio Caramella,,,,,,,,,,,,,,,33:45.40
Tadesse Abraham,,,,,29:31.14,29:51.15,29:15.46,,,28:41.37,,,,,29:17.70
Ernst Bislin,,38:41.10,,,,,,,,,,,,,
Herbert Decorvet,,41:10.28,,,,,,,,,,,,,
Matthias Udry,,,39:55.43,,,,,,,,,,,,
Daniel Blättler,,,34:42.52,,,,,,,,,,,,
Florian Wagner,,,,36:40.15,,,,,,,,,,,
Narciso Oliveira,,,,,,,,,,35:52.77,,,,,
Fabian Anrig,,,,,,,,,,,,31:18.47,,,
Jean-Pierre Theytaz,,,33:56.11,33:51.15,,,,,,,,,34:54.51,,33:21.21
Jonas Leuenberger,,,,,,,,,,33:49.72,,,,,
Dominic Müller,,,,,,,,,,,,31:32.97,,,31:06.70
Gérard Mauron,,40:29.45,,,,,,,,,,,,,
David Girardet,32:15.26,,32:19.03,,33:28.65,,,,,,,,,,
Mirko Ratano,,,,,,,,,,,,,,,32:59.01
Armin Flückiger,,,,,,,,33:21.55,,33:59.78,,,,,30:43.16
Christophe Stauffer,,,,36:40.11,,,,,,,,,,,
Fernando Cortez,,,,,,,,,,36:04.93,,35:42.40,,,
Joël Mabboux,,37:47.58,37:16.54,,,,,,,,,,,,
Nils Oberli,,,,,,,,,,,,50:11.27,,,
Tarcis Ançay,30:46.17,,,31:02.96,,,,,,,,,,,
Bruno Kunz,,38:55.56,,39:43.70,,40:55.71,,,,,,,,,
Guido Biondo,,,,34:41.70,,,,,,,,,,,
Christophe Chabard,,,,,,,,,,,,,,,31:59.75
Kaspar Scheiber,42:27.15,,,,,,,,,,,,,,
Michel Brügger,,,,31:23.11,31:57.27,,,,,,,,,,
Thibault Niederhauser,,,,,,,,,,,,37:23.87,,,32:13.55
Cédric Piccand,34:46.02,35:01.94,35:12.94,,,,,,,,,,,,
Yan Volery,,,,,,,,,,,,,,,30:52.27
