Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Priscilla Frey,,,2:49.22,,,,,,,,,,,,
Rahel Meyer,,,,,,,2:57.92,,,,,,,,
Leonie Neff,,,,,,,,2:40.56,2:34.29,2:38.19,,,,,
Meryl-Georgina Meyer,,,,,,2:38.60,2:27.66,2:33.61,2:28.64,2:27.74,2:29.35,2:34.91,2:30.80,,
Eva Suter,,,,,,,,,,,,2:56.13,,,
Ilaria Brun,,,,,,,,,,,,,,,2:44.43
Monika Fässler,,,,,,,,,,,,,,3:04.64,
Isabel Robel,,,,,,,,,,,,,,2:55.24,
Renée Benz,,,,,,3:18.08,,,,,,,,,
Simone Kohler,,,,,,,,,,2:47.41,,,,,
Carole Marullaz,,,,,2:34.76,2:30.92,2:26.01,2:29.80,2:34.30,,,,,,
Léa Savoy,,,,,,,,,2:40.31,,,,,,
Sylvie Dufour Jaccoud,2:14.30,2:14.46,,,,,,,,,,,,,
Franziska Schmid,2:19.82,,,,,,,,,,,,,,
Salome Weber,,,2:37.75,2:39.07,2:36.28,,,,,,,,,,
Sara Mesquita,,,,,,,,,,,,,,2:28.92,
Alessandra Müller,,,,,,,3:18.79,,,,,,,,
Nadja Rüdisüli,2:28.46,2:23.33,2:30.41,,,,2:34.20,,,,,,,,
Alina Zehnder,,,,,,,,,,,2:40.57,,,,
Jessica Catalini,,,,,,,,,,,2:39.01,2:31.33,2:28.67,2:30.25,2:28.64
Seraina Jäggi,,,,,,,,,,,,,3:08.79,3:50.44,
Neïla Jeusset,,,,2:35.81,2:26.16,,,,,,,,,,
Luciana Hutter,,,,,,,,,,,2:30.31,2:29.29,2:26.89,2:23.88,2:23.85
Fabienne Brunner,2:23.57,2:25.63,,,,,,,,,,,,,
Tamara Kamm,,,,,,2:35.18,,,,,,,,,
Ramona Teller,,,,,2:18.99,2:13.85,2:13.14,2:13.69,2:15.58,,,,,,
Corina Zahnd,2:30.63,,,,,,,,,,,,,,
Mélissa Kull,,,,,,,2:46.20,,,,,,,,
Shawney Lang,,,,,,,,,,,,2:47.73,,2:34.22,
Lena Egloff,,,,,,,,,,,,,,2:53.85,
Barbara Dell'Atti,2:19.10,2:14.86,2:13.23,2:21.22,,,,,,,,,,,
Valentina Lupica,2:40.85,2:34.47,,,,,,,,,,,,,
Lea Gasser,,,2:24.44,2:21.84,2:15.01mM,2:18.48,2:18.33,2:13.51,,,,,,,
Pamela Märzendorfer,,,,2:06.39mM,2:05.00,2:04.03,2:03.57,,2:07.69,2:11.72,2:09.14,,,,
Fiona von Flüe,,,,,,,,,,,,,,2:26.41,2:17.39
Céline Bortoluzzi,,,,,,,,,,,,,,2:31.91,2:30.33
Zora Oswald,,,,,,,2:26.10,2:31.31,2:33.57,,,,,,
Marion Favre,,,,,,,,,,2:35.94,,,,,
Rahel Pfammatter,,,,,,,,,,,2:43.22,,2:52.60,,
Arianna Engelhardt,,,,,,2:23.68,,2:23.10,2:16.79,,,,,,
Lydia Hayenga,,,,,,,,,2:51.69,,,2:38.62,2:33.78,2:34.43,
Rebecca Häner,,,,,,2:49.48,,,,,,,,,
Claudia Meier,,,,,2:27.64,,,,,,,,,,
Aline Gloor,,,,,,,,,,,,,,,2:17.51
Selina Sorm,,,,,,,3:11.63,2:55.84,2:58.63,,,,,,
Jana Grüter,,,,,,,,,,,2:40.39,2:33.83,2:29.77,2:27.97,
Mirjam Isenegger,,,,,,,,,,,3:08.07,,,,
Linda Stichert,2:21.56,2:23.22,2:22.48,,2:20.23,2:18.03,2:16.94,2:22.37,2:16.43,2:16.61,2:17.18,2:16.05,2:15.61,2:15.44,2:18.37
Kerstin Dietsche,2:37.02,,2:50.22,,,,,,,,,,,,
Ruth Helfenstein,,4:08.78,,,,,4:26.90,4:24.96,,,5:46.60,,5:33.71,,
Saskia Münger,,,,,,,,2:38.34,,,2:30.05,,,,
Lisa Eberhard,,,,,,,2:29.82,,,,,,,,
Emily Rubbo,,,,,,,3:14.82,2:51.90,2:41.08,,,,,,
Renza Merz,,,2:41.87,,,,,,,,,,,,
Nadine Hunziker,,,,,,,,,2:42.35,,,,,,
Corina Obrist,,,,,,,,3:02.85,,,,,,,
Lena Haas,,,,,,,,,,2:40.52,2:30.10,2:31.86,2:30.40,,
Nadine Ruffiner,,,2:31.41,,,,,,,,,,,,
Solveig Salomon,,,,,2:42.14,2:36.53,,,,,,,,,
Nicole Aellig,,,,,,2:28.57,,,,,,,,,
Anna Kohler,,,,,,,,,,,,,2:36.52,,
Katja Steiner,2:39.76,,,,,,,,,,,,,,
Camille Trolliet,,,2:37.35,,,,,,,,,,,,
Debora Fust,,,,,,,2:47.13,,,,,,,,
Angela Berger,,,,2:41.89,2:47.13,,,2:49.57,2:35.90,,2:32.57,,,,
Elena Bassi,,,,,,,,,,,3:14.78,,,,
Ladina Mayor,2:29.12,,,,,,,,,,,,,,
Sarah Dörig,,,,,,,,2:40.40,2:43.42,,,,,,
Amandine Vouilloz,,,,,,,,,,,,,,,2:25.95
Mirjam Rieger,,,,,2:18.15,2:20.12,2:21.62,,,,,,,,
Laura Fivian,,,,,,,,,,,2:37.91,,,,
Audrey Werro,,,,,,,,,,,,,2:20.42,2:12.10,2:08.72
Tanja Wespi,,,,,,,2:40.63,,,,,,,,
Nadine Bonvin,,,,,,,,,,,,2:32.10,,,
Lilly Nägeli,,,,,,,,,,,,,2:13.12,2:09.28,2:12.53
Céline Bürgi,,,,,,,,,,,,,2:57.68,,
Vanessa Truttmann,,,,,,,,,,,,,3:28.20,,3:37.94
Lea Hefel,,,,,,,,,,,,,,2:29.69,
Kristina Draganova,,,,,,,,,,,2:34.31,,,,
Fabienne Hug,,,,,,,,,,,,,,,2:29.24
Manuela Fahrni,,,,,,2:29.63,2:26.76,,,,,,,,
Carla Wild,,,,,,,,,2:55.77,2:45.41,2:39.73,2:35.56,2:31.05,2:27.79,2:25.07
Samira Harperink,,,,,,,,,,2:49.77,,,,,
Michelle Schindelholz,,,,,,,,,,,,,2:55.96,,
Fabienne Frutiger,,,2:31.44,2:31.02,2:31.75,2:27.10,2:21.22,,2:28.10,2:25.63,2:25.37,,,,
Eliane Geller,,,,,,2:38.72,,,,,,,,,
Marina Kuhny,,,,,3:05.33,,,,,,,,,,
Laura Klöpping,,3:06.89,,,,,,,,,,,,,
Caroline Agnou,,,,,,,2:34.20,2:38.94,2:22.47,2:23.33,2:20.24,2:16.06,,2:17.51,
Lena Hammerich,,,,,,,,,,,,2:29.00,,,
Constance Pittet,,,,,,,,,,,,,,,2:25.68
Saira Bassi,,,,,,2:38.47,,,,,,,,,
Tamara Winkler,2:12.93,2:08.43,2:08.24,2:11.86,2:07.71,,,,,2:13.82,,,,,
Darya Hauri,,,,,2:28.54,,,,,,,,,,
Christina Strycker,2:22.77,2:23.88,,,,,,,,,,,,,
Noémie Rapp,,,,,,,,,,,,,,2:29.05,2:20.07
Adrienne Frei,,3:01.69,,,,,,,,,,,,,
Michelle Hofer,,,,,,,,,2:51.86,2:55.75,,2:40.49,2:41.30,2:37.58,
Ilena Spinedi,,2:41.18,,,,,,,,,,,,,
Giulia Marzano,,,,,,,,2:31.13,2:26.14,2:20.40,2:26.08,2:21.88,2:25.55,2:31.25,
Nathalie Schnider,,,,,,2:54.38,2:53.88,,,,,,,,
Svenja Bamert,,,,,,,,,,,,,,2:59.94,
Alexandra Bosshard,,,,2:22.76,2:17.31,2:27.81,2:18.36,2:13.47,2:11.40,2:09.79,2:08.96,2:06.57,,,
Lea Laib,,,,2:19.45,2:14.21,2:12.64,2:09.80,,,,,,,,
Simone Lalor,,,,,,,,,,,,,,,2:11.24
Denise Meister,,,2:56.38,,,,,,,,,,,,
Ecem Kisa,,,,,,,,,,2:44.09,2:44.71,,,,
Melanie Lickert,,,,,,,,,,3:01.14,,,,,
Larissa Köhli,,,,,,,,,,,,,2:47.01,,2:57.42
Luisa Wiget,,,,,,,,,,,,,,,2:18.81
Lea May,,,,,,,,,,,2:25.04,,,,
Melanie Onken,,,,2:46.54,2:45.29,,2:41.37,,,,,,,,
Alexandra Beer,,,,2:55.95,,2:44.14,,2:44.39,,,,,,,
Shalin Spörri,,,,,,,,,,2:51.46,,,,,
Fabienne Theiler,2:56.58,,,,,,,,,,,,,,
Katharina Kress,,,,,,,,,,,2:41.36,2:42.75,,,
Lara Mettler,,,,,,,,,,,,,3:17.75,,
Anoc Stricker,,2:36.54,,2:46.20,,,,,,,,,,,
Aurore Ortlieb,,,,,,,,,,,,,,,2:57.11
Rahel Blättler,,,,,,,,,,2:27.34,2:25.05,2:25.81,,,
Sam Lea Donnellon,,,,2:59.56,2:41.32,2:47.48,,2:41.50,,,,,,,
Sandra Zeberli,,,,,,2:54.39,2:55.23,,,,3:03.27,,,,
Sarina Spörri,,,,,,3:34.54,3:29.80,,,,,,,,
Andreina Tanner,2:19.59,,,,,,,,,,,,,,
Anna Lea Schindler,,,,,,,2:48.17,,,,,2:44.36,,,
Sandra Risi,,,,,,2:37.88,,,,,,,,,
Melanie Wenger,,,,,,,2:33.85,,2:25.98,2:25.14,2:27.23,,,,
Corina König,,,,,,2:28.92,2:28.04,2:24.98,2:32.97,,2:35.34,,,,
Samantha Medina,,,2:55.53,2:59.63,,,,2:42.78,,2:45.68,,2:40.83,,,
Selina Rütti,,,,,2:38.90,,,,,,,,,,
Carmen Böhm,2:45.11,,,,,,,,,,,,,,
Vanja Lazic,,,,,,,2:54.61,,,,,,,,
Stefanie Barmet,2:20.54,2:14.19,2:06.01,2:08.23,2:06.93,2:08.41,2:09.69,2:13.83,2:10.02,2:09.79,2:08.68,2:07.99,,2:10.79,
Joelle Vicari,2:58.78,,,,,,,,,,,,,,
Sara Bayer,,,,,2:33.77,2:28.69,2:33.33,,,2:38.11,,,,2:35.09,
Joana Seiler,,,,,,,,,,,,,2:30.99,,
Karin Peter,2:20.49,,2:19.94,2:26.29,2:21.78,,,,,,,,,,
Andrea Burch,2:23.65,2:20.07,2:24.94,2:22.08,,,,,,,,,,,
Zelia Samuel,,,,,,,,,,,,,2:44.68,2:51.78,
Joelle Hofer,,2:50.80,,,,,,,,,,,,,
Vanessa Keist,2:43.33,,,,,,,,,,,,,,
Aurélie Wälti,,,,,,,,,2:44.23,,,,,,
Louise Bonny,,,,,,,,,,,,,3:03.01,,
Carla Felder,,,,,,,,,,,,,,3:10.39,
Ursula Keller,2:15.42,2:12.70,2:19.28,2:18.01,2:14.78,,2:20.82,,,2:24.71,,,,,
Nadine Stampfli,,,2:42.71,,,,,,,,,,,,
Rahel Isler,,,2:37.51,2:40.86,,,,,,,,,,,
Carla Wüthrich,,,,,,,,,,,2:26.65,2:27.55,2:26.36,,
Lorena Fischer,,,,,,,,,,,,,2:54.48,,
Daniela Camenzind,,,,,,,,,2:35.51,,,,,2:16.32,2:20.03
Michelle Buri,,,,3:07.63,2:57.09,,,,,,,,,,
Elena Widmer,,2:51.07,,,,,,,,,,,,,
Lea Iff,,,,,,,,2:34.96,2:39.10,,,,,,
Irina Freiburghaus,,2:31.64,2:31.63,2:18.34,2:19.49,2:23.35,,,,,,,,,
Nina Kok,,,,,,,,,,,,,,2:41.35,
Sarina Littmann,,,,,,,,,,,,,,,2:31.18
Amaya Gloor,,,,,,,,,,,3:02.46,,,,
Jenny Oliveira,,,,2:36.57,,,,,,,,,,,
Livia Häfliger,,,,2:43.26,2:41.19,,,,,,,,,,
Manon Voide,,,,,,,,,,,,2:43.63,,2:40.46,
Sara Walser,3:10.64,,,,,,,,,,,2:52.01,,,
Noa Guhl,,,,,,,,,,2:58.34,,,2:50.25,,
Jana Gabathuler,,,,,,,2:42.76,2:37.57,,,,,,,
Sara Battistini,,,,,,,,,,,,,,2:43.19,
Mara Cattaneo,,,,2:36.33,2:37.52,2:24.00,,,,,,,,,
Julia Marock,,,,,,,2:36.95,2:43.70,,,,,,,
Marisa Lavanchy,2:40.24,2:41.50,,,,,,,,,,,,,
Salome Lang,,,,,,,,,,2:31.54,,2:39.49,,,
Livia Grand,,,,,,,,,,,2:34.97,,,,
Deborah Meier,,,,,2:52.16,,2:52.73,2:51.48,,2:44.67,,,,,
Joëlle Bachmann,,,,,,,,,,,2:36.45,,2:33.66,2:37.81,2:32.68
Alisa Trummer,,,,,,,,,,,,,,2:48.49,
Vanessa Vogt,,,,,,,,,2:43.82,,2:40.24,,,,
Rebecca Bordoli,,,,,,,,,,,2:52.77,,3:05.12,,
Julia Calame,,,,,,,,,2:29.52,2:31.58,,,,,
Noirin Graham,,,,,2:44.55,,,,,,,,,,
Valentina Fasoletti,2:58.12,3:02.06,,,,,,,,,,,,,
Flavia Schnyder,,,,,,,,2:35.18,,,2:35.33,,,,
Salomé Schornoz,,,,,,,,,,,,,,2:32.32,2:31.67
Anja Jost,2:23.32,,,,2:25.28,,,,,,,,,,
Isabelle Adel,,,,,,,,,,,,,,2:58.01,2:58.37
Carmen Widmer,2:29.39,,,,,,,,,,,,,,
Mara Moser,,,,,,,,,,,2:23.22,2:18.56,2:12.63,2:13.22,2:12.27
Irene Citterio,,,,,,,,,,3:01.26,,,,,
Marie-Claude von Allmen,,,,,,,,,,,2:21.30,2:25.26,,2:23.12,
Alicia Thalmann,,,,,,,,2:45.79,,2:40.48,,2:34.95,2:38.39,,
Michelle Wagner,,,,,,,,,,,3:03.42,,,,
Rebecca Schubiger,,,,,,,,,,,,,3:05.51,,
Mona Brunner,,,,,,,,,2:55.32,,,,2:37.27,,
Alina Casserini,,,,,,,,,,,,,2:54.49,,
Daniela Wydler,,,,,,,,,,,,,,2:25.85,
Ravenna Gassmann,,2:30.00,2:28.09,2:26.57,2:27.30,,,2:30.23,2:19.01,2:18.05,2:22.32,2:21.03,,2:12.67,
Annika Linggi,,,,,,,,,,,,3:01.41,2:53.60,,
Adea Bajrami,,,,,,,,,,,,,2:59.33,,
Marlen Schmid,,,,,,,,,,,2:55.81,,,,
Chloé Ramuz,,,,,,,,,,,,,,,2:33.91
Cassy-Lou Depestel,,,,,,,,,,,2:42.71,2:43.98,,,
Sarah Geboltsberger,2:17.70,,2:26.18,,,,,,,,,,,,
Gabi Lang,2:05.51,2:04.74,,,,,,,,,,,,,
Sophie Wälti,,,,,,,,2:47.03,,,,,,,
Sarina Inauen,,,,,,3:04.80,,3:11.14,,,,,,,
Aurélie Pict,,,,,,,,,,,,,,,2:41.64
Lotta Breitenfeld,,,,,2:35.26,2:35.97,,,,,,,,,
Sophie Paroz,,,,,,,,,,,,2:42.42,,,
Vanessa Schranz,,,,,,,,2:22.36,2:18.10,2:22.62,,,2:22.16,2:18.57,
Estefania Garcia,,,2:47.38,2:41.27,2:36.90,2:36.68,,2:46.42,2:37.77,2:38.01,2:33.17,2:30.73,,,
Nathalie Camplani,,,,2:29.84,2:28.71,,,,,,,,,,
Mirielle Wyss,,,,2:33.83,2:31.12,2:34.01,2:31.97,2:35.83,,,,,,,
Eda Bayrakci,,,,,,,,,,,,3:17.12,,,
Nicole Geisseler,,,,,,,,,,,,,2:55.19,,
Jana Bruhin,,,,,,,,,,,3:07.16,,,,
Andrea Rutschmann,,,,,,,,,2:34.07,2:29.83,,,,,
Fiona Jeitziner,2:25.06,,,,,,,,,,,,,,
Andrea Hutter,,,,,,,,,,,3:03.97,,,,
Alina Frei,,,,,,,,,,,,,,,2:32.84
Chiara Stampfli,,,,,,,,3:07.17,,,,,,,
Loretta Miani,,,,2:34.12,2:33.69,,,,,2:44.96,,,,,
Sabrina Imhof,,,,,,2:33.43,,,,,,,,,
Magdalena Mäder,2:20.38,2:20.96,,2:23.98,,2:27.92,2:32.58,,2:21.20,,,,,,
Ellin Lossin,,,,,,,,,,,,,,,3:02.38
Fabienne Baur,,,,,,,,,,,2:48.13,,,,
Anne-Valérie Luyet,,2:33.15,,,,,,,,,,,,,
Helen Bekele,,,,,,,,,,,,,,2:08.19,
Soraya Wiedmer,,,,,,,,,,,,,,3:04.53A,2:57.07
Caroline Droux,,,,2:35.02,2:24.21,2:22.81,2:22.47,2:21.26,2:21.74,2:18.77,,2:17.86,2:19.01,2:23.19,
Melanie Richard,,,,2:53.02,,,,,,,,,,,
Kim Widmer,,,,,2:54.62,,3:04.35,2:40.67,,2:39.18,,2:32.45,,,
Selina Ummel,,,,,,2:22.97,2:18.14,2:14.08,2:12.53,2:13.36,2:15.11,2:15.34,2:14.74,,2:13.80
Jil Hohler,,,,,,,,2:30.81,,,,,,,
Selma Müller,,,,,,,,2:51.16,,,,,,,
Stefania Tamò,,,,2:44.12,,,,,,,,,,,
Olivia Arnold,,,,2:46.76,,,,,,,,,,,
Sophia Lindenmann,,,,,,,,3:24.86,,3:10.70,3:06.06,,,,
Kim Bienz,,,,,,,,,,,,,2:55.65,,
Diamante Favero,,,2:42.47,2:37.93,,,,,,,,,,,
Jamie Zürcher,,,,,,,,,,,,,,2:45.44A,
Chloé Rickenmann,,,,,,,,,,,2:22.82,2:21.70,2:18.38,,2:17.38
Janine Bühler,,,,,,,,,,2:59.17,2:51.28,2:45.51,2:46.92,,
Vanessa Widmer,,,,,2:52.82,,,,,,,,,,
Annina Siegrist,,,,,,,,,,,,,,2:48.15,2:42.16
Ketty Beffa,,,2:59.14,,,,,,,,,,,,
Tanja Regamey,,,,2:43.94,,,,,,,,,,,
Chantal Walser,,,,,,,,3:02.66,,,,,3:10.51,,
Anja Ringgenberg,,,,,,,,2:40.39,2:36.91,,2:36.32,,,,
Valentine Marchon,,,,,,,,,2:27.00,2:26.09,2:25.78,,,,
Crystel Herren,,,,,3:08.11,,,,,,,,,,
Coralie Gibson,,,,2:25.72,2:24.38,2:18.16,2:24.86,,2:25.21,2:20.73,2:20.50,,2:27.66,,
Marina Ludwig,2:43.26,2:43.92,2:45.68,2:43.10,,,,,,,,,,,
Naomie Walther,,,,,2:50.47,,2:51.94,,,,,,,,
Nerina Gross,,,,,,2:30.43,2:19.61,2:16.95,2:21.84,,2:17.41,,,,
Ilena Aebersold,,,,,,,,,,,2:40.37,,,,
Tiziana Piépoli,,2:29.42,,2:27.88,,,,,,,,,,,
Nicole Höhener,,,,,,,,,,2:47.75,2:41.28,2:36.58,2:33.55,2:29.40,2:30.26
Lisa Bertoldi,,,,,,,,,,,2:50.95,,,,
Svenja Gfeller,,,,,,,,,,,2:29.72,2:27.18,2:25.78,2:25.89,
Selina Haldner,,2:44.46,,,,,,,,,,,,,
Charlotte Kress,,,,,,2:40.72,2:36.08,2:33.60,,,,,,,
Sara Bircher,,,,,,,,,,,,,,2:37.60,2:34.61
Maura Bierl,,,,,2:39.12,,2:36.16,2:32.31,2:29.75,,,,,,
Sofia Aaltonen,,,,,,,,,2:45.71,,,,,,
Mélanie Reymond,,2:40.48,2:33.11,,,2:30.35,,,,,,,,,
Alexandra Höhener,,,,,,,,,,2:50.03,2:44.81,2:41.19,,2:44.13,2:53.58
Sina Hegner,,,,,,,,,,,,,2:56.68,,
Fabienne Aubry,,,,2:40.90,2:38.83,2:34.54,2:39.96,2:37.94,2:35.69,,,,,,
Marcia Spörri,,,,,,,,,,2:41.51,2:42.82,,,,
Chiara Zoller,,,,,,,2:30.27,2:33.32,2:30.63,,,,,,
Anine Jamin,,,,,2:26.96,2:25.99,2:33.26,,,,,,,,
Alessandra Schürch,,,,,,,,2:39.05,2:45.96,,,,,,
Lia Mordasini,,,,,,,,,,,,,2:37.41,2:43.93,2:42.35
Claudia Martins,,,3:04.56,,,,,,,,,,,,
Cloe Signorelli,,2:30.05,,,,,,,,,,,,,
Alicia Durrer,,,,,,,2:26.91,2:23.33,2:31.81,,,,,,
Yara Moser,,,,,,,,,,,,,,2:33.71,
Marjolaine Jaccoud,,2:27.39,2:26.07,,2:27.85,,,,,,,,,,
Fränzi Rickenbacher,,,3:01.39,,,,,,,,,,,,
Arina Altomare,,,2:48.56,,,,,,,,,,,,
Chiara Casasola,,,,,,,,,,,,,2:57.16,,
Irina Antener,,,,,,,,,,,,,,2:39.27,
Elsa Zandona,,,,,,,,,,,,,,,2:50.46
Natalia Issler,,,,,,,,,,,,,,,2:15.30
Lorraine Schaefer,,,,,,,,,2:28.82,,,,,,
Laura Dahinden,,,,,,,,,,,,,,,2:48.67
Lisa Walther,,2:27.98,,,,,,,,,,,,,
Lena Weiss,,,,,,,2:34.90,,,,,,,,
Noelie Sciboz,,,,,,,2:38.19,,,,,,,,
Renée Baeriswyl,,,,,,,,,,3:01.71,,,,,
Larissa Marbacher,,,,,,,2:36.87,,,,,,,,
Sabrina Baumgartner,2:10.21,2:09.77,,,2:14.05,,,,,,,,,,
Jana Vonäsch,,,,,,,,,,,,2:26.05,2:22.78,2:21.84,2:26.25
Leonie Weber,,,,,,,,,,,,2:55.10,2:48.56,,
Anina Buchli,,,,,,,,,2:36.40,,,,,,
Virginie Ruedi,,,,,,,,2:36.91,,,,,,,
Marina Cimenti,,,,,,,2:45.14,,,,,,,,
Verena Mombelli,,,,3:02.96,,,,,,,,,,,
Melanie Fuchs,2:20.23,2:24.90,,,,,,,,,,,,,
Rebecca Ammann,,2:41.16,2:33.62,2:32.26,2:26.36,,2:31.53,2:29.34,2:26.22,,,,,,
Giulia Ferrini,,,,,,,2:47.47,,,,,,,,
Tanja Fuchs,2:46.82,2:33.16,2:31.80,2:40.63,2:38.32,2:40.06,2:38.91,2:42.62,,,,,,,
Eléonore Paupe,,2:39.44,2:36.58,2:31.37,2:30.22,2:32.85,2:30.67,2:29.77,,2:22.15,2:23.16,,,,
Andrina Flury,,,,,,,,,,2:59.80,,,,,
Sarah Hettich,,,,,,,,,,,2:15.33,,,,
Kathrin Rohr,,,,,,2:46.09,2:44.20,2:40.84,2:40.35,,,,,,
Tiffany Schlegel,,,,,,,,,,,2:41.73,2:32.45,2:29.15,,
Chloé Berli,,2:23.62,2:28.00,,,,,,,,,,,,
Céline Diethelm,,2:25.10*,2:22.54,2:20.12,,,,,,,,,,,
Deborah Lerice,,,,,2:57.65,,,,,,,,,,
Sabine Fischer,2:04.69,2:08.40,,,,,,,,,,,,,
Cristina Maria Ilg,,,,,,,,,,,,,,2:42.86,
Françoise Gobat-Membrez,2:25.22,,,,,,,,,,,,,,
Marina Müller,,,,,2:44.27,2:31.76,2:33.85,2:36.95,2:26.66,2:27.93,2:33.66,,2:34.11,2:28.28,2:27.07
Michèle Studer,,,,,,,2:47.02,,,,,,,,
Aline Flattich,,,,,,,,,,,,2:51.35,,,
Line Voelin,,,,2:42.55,,,,,,,,,,,
Michelle Friedli,,,,,,,,,,,,,,3:04.99,
Charlotte Racine,,,,,,,,,,,,,2:40.32,2:27.28,2:28.70
Karin Egli,2:20.24,2:24.18,2:24.70,2:31.07,,,,,,,,,,,
Sandra Judith Constantin,,,,,,2:23.83,,,,,,,,,
Ségolène Métral,2:27.30,,,,,,,,,,,,,,
Laura Baehny,,,,,,,,2:41.12,,,,,,,
Mara Keller,,,,,,,,,,2:59.91,3:07.52,2:59.09,2:53.49,,
Melanie Ochsner,,,,,2:53.42,2:45.76,3:14.45,,,,,,,,
Aurelia Dammann,,,,,,,,,,,,,3:12.49,,
Carina Meyer,,,,,,,,,,,,,2:59.93,,
Michelle Bollmann,2:46.90,,,,,,,,,,,,,,
Jasmine von Vivis,2:28.51,2:32.81,2:30.87,2:31.96,2:44.64,2:34.60,2:34.64,,,,,,,,
Livia Jurt,,,,,,,,,,,,,2:37.05,,
Rahel Heini,,,,,,,,,,,,2:48.89,,,
Tanja Erni,,,,,,,,,,,,,3:04.01,,
Julia Mehl,,,,,2:36.90,,,,,,,,,,
Lina Benz,2:47.90,,,,,,,,,,,,,,
Michelle Posratschnig,,,,,,,,,,,2:44.05,,,,
Amélie Bertschy,,,,2:18.87,2:23.73,2:18.43,2:24.28,,2:30.36,2:28.15,,,,,
Janine Hubschmid,2:19.25,,,,,,,,,,,,,,
Elsa Gaillard,2:48.42,,,,,,,,,,,,,,
Vera Bischoff,,,,,,,,,,,,2:31.87,2:32.43,,
Lemi Leisibach,2:18.76,2:18.59,2:27.93,,2:23.00,,,,,,,,,,
Sibylle Meier,,2:57.19,3:01.52,,,,,,,,,,,,
