Nom,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Raphael Schaffner,,,,,2:02.86,2:03.75,2:03.24,,,,,,,,
Pascal Schönbächler,,,,,2:28.40,,,,,,,,,,
Dave Derigo,,,,,,,,,,,2:09.44,2:03.97,2:01.71,2:06.39,
Andrea Brenzikofer,,,,,,,,,,,,2:09.65,2:08.49,2:02.75,
Yanis Payraudeau,,,,,,,,,,,,,,,2:21.68
Steve Lienhard,2:12.44,2:04.78,2:03.57,2:04.58,,,,,,,,,,,
Fabian Stillhart,,,,,,,,2:10.80,2:10.11,,,,,,
Luca Frei,,,,,2:15.52,,,,,,,,,,
Nicolas Kaelin,,,,,,2:11.67,2:03.97,,2:11.29,2:05.15,,,,,
Pascal Lüchinger,,2:17.82,,,,,,,,,,,,,
Gaëtan Bruyant,,,,,,,,,,,,2:08.93,,2:03.97,
Grégory Grandjean,,,,,,,,2:00.13,,,,,,,
Matthias Faes,,,,,2:06.10,2:08.24,,,,,,,,,
Roland Christen,2:01.96,1:53.05,1:54.71,1:52.08,1:51.13,,,1:48.83,1:49.21,1:50.34,1:50.77,1:52.50,,,
Omid Shams,,,,,,,,,,,,,,,2:00.22
Marco Guidali,1:57.13,,2:00.09,2:00.97,,,,,,,,,,,
Yan Volery,,,,,,,,,2:23.54,,2:01.98,1:56.86,1:55.09,,1:58.05
Raphael Kobler,2:12.55,,,,,,,,,,,,,,
Oreste Garbani,,,,,,,,,,,,,,1:57.16,
Damien Schaller,,,2:18.24,,,,,,,,,,,,
Marco Hauswirth,,,,2:53.16,,,,,,,,,,,
Bruno Oberson,,,,,,,,,,,,,2:10.74,2:06.75,2:14.88
Didier Perrottet,,,,,,2:08.23,,,,,,,,,
George Gribben,,,,,,,,,,,,,,2:05.51,
Sébastien Giani,,,,,,1:56.39,1:55.03,1:56.63,1:57.52,2:01.84,1:57.80,,,,
Georg Schellenberg,,,2:44.58,2:40.90,,2:38.32,2:50.17,2:48.45,,,,,,,
Franz Wolf,,,2:24.29,,,,,,,,,,,,
Miguel De Blaireville,2:07.95,2:07.52,,,,,,,,,,,,,
Martin Leiser,1:57.27,,,,,,,,,,,,,,
Flavio Gerber,,,,,,,,,,,,,,2:29.20,
Quentin Roubaty,,,,,,,,,,,,,,,2:08.60
Andri Oberholzer,,,,,,,,,,,,,,4:37.89,
Cosimo Seiler,,,,,,,,,,,,,2:11.17,,
Mathieu Barras,,,,,,,,,,,,,,,2:46.46
Joel Bischof,,2:11.15,,,,,,,,,,,,,
Philippe Pool,,2:09.50,2:04.02,1:59.44,,,,,,,,,,,
Thomas Beck,,,,,,,,,,2:08.14,,2:10.12,2:05.73,,
Cyril Günter,,,,,,,,,,,,,2:07.38,2:01.06,1:59.90
Noah Wildisen,,,,,,,,,,,2:06.27,2:02.75,,,
David Läderach,2:06.42,,,,,,,,,,,,,,
Stephan Lowiner,1:55.31,1:54.64,2:07.60,,,,,,,,,,,,
Valentin Vouillamoz,,,,2:13.14,,,,,,,,,,,
Manuel Cabras,,,,,,2:32.14,,,,,,,,,
Björn Müller,,,,,,,,2:08.69,2:00.88,1:57.64,1:59.99,1:58.06,2:03.13,2:06.41,
Nikita Kostyuchenko,,,2:13.27,,,,,,,2:06.53,,,,,
Robin Sutter,,,,,,,,,,,,,1:59.16,1:55.43,
Andreas Oberbichler,,,,,,,,,,,2:00.38,,,,
Nils Grüninger,,,,,,,,,,,,,,2:14.08,
Louison Tambwe,,,,,,,,2:12.55,,,,,,,
Pascal Obrecht,2:04.99,2:01.64,2:12.63,,,,,,,,,,,,
Gabriel Alvarez,,,,,,,,2:06.78,,,,,,,
Lukas Rauber,,,,,,,,2:17.69,2:18.83,,,,,,
David Naki,,,,,,,,,,,2:14.48,,,,
Bryan Ferramosca,,,,,,,,,,2:46.37,,,,,
Nicolas Le Paven,,,,,,,,,,,,,,2:07.34,
Remo Blättler,,,,,,,,2:16.16,2:10.19,2:04.22,2:05.55,2:03.58,2:05.41,,
Francesco Zanella,,,,,,,,,,,2:17.13,,,,
Andreas Becker,,1:54.76,1:54.06,1:55.53,1:56.52,1:58.32,,,,,,,,,
Patrick Scheuchzer,,2:01.90,1:58.50,2:00.63,1:58.11,1:54.61,2:02.23,1:57.25,,,,,1:59.07,,
Samuel Coquoz,,,,,,,2:18.72,,,,,1:59.89,,,
Janis Thommen,,,,,,,,,,,,2:07.83,2:07.08,2:02.01,
Jari Piller,2:09.04,,2:04.45,2:02.10,1:57.79,,,1:56.71,1:58.82,1:56.10,1:58.21,1:58.08,,1:57.87,
Mauro Cappellari,,,,,,,,,,,2:27.53,,,,
Andreas Berlinger,,,,,,,,,,,,,2:12.70,,
Thomas Züger,,,,,,,,,,2:13.94,,,,,
Fuad Morina,,,,,,,,,2:22.33,2:18.14,,,,,
Jan Rüttimann,,,,,,,,,,,,,,,1:58.85
Aaron Tamburini,,,,,,,2:13.20,,,,,,,,
Pascal Furtwängler,,,,2:10.68,2:03.83,1:59.75,1:58.92,1:55.00,1:55.58,1:53.94,1:51.48,1:50.01,1:48.80,1:49.03,1:51.19
Jonas Leu,,,,,,,,2:01.12,2:03.67,2:00.04,2:09.45,,,,
Tizian Folly,,,,,,,,,,,,2:11.90,2:06.82,,
Nick Obrist,,,,,,,,,2:13.16,2:10.31,2:09.51,,2:05.72,2:03.00,
Magnus Strobel,2:08.42,,,,,,,,,,,,,,
Ivanoé Pittet,,,2:21.82,2:11.38,2:10.90,,2:09.80m,,,,,,,,
Philemon Fuchs,1:57.20,1:56.03,1:54.73,1:54.61,1:55.25,1:53.77,1:54.35,1:55.35,1:56.25,1:59.36,2:00.22,2:00.40,2:00.96,,
Reto Siegenthaler,2:06.76,,,,,,,,,,,,,,
Stefan Breit,1:53.42,1:53.17,1:53.73,1:53.50,1:53.94,1:53.69,1:51.98,1:53.15,1:55.82,,,,,,
Ali Al-Kenani,,,,,2:04.54,1:59.28,,,,,,,,,
Janik Cantieni,,,,,,,,,,,3:21.06,,,,
Patric Guilbert,2:04.76,,,,,,,,,,,,,,
Valentin Mettler,,,,,,,,,,2:52.66,2:57.64,,,,
Balz Auf der Maur,,,,,,,,,,2:26.87,,,,,
Romain Moix,,,2:23.67,,,,,,,,,,,,
Tim Keller,,,,,,2:08.36,2:08.62,,,,,,,,
Domenik Meier,,,,,,,,2:07.21,,,,,,,
Silvan Schnyder,,2:15.34,2:16.47,,,,,,,,,,,,
Joao Ribeiro,,,,,,,,2:07.76,,,,,,,
Baptiste Fieux,,,,,,,,,,,,,2:00.62,1:59.54,
Guido Biondo,2:22.94,,,,,,,,,,,,,,
Pawel-Roman Szczepanski,2:02.38,,,,,,,,,,,,,,
Fabian Rüegg,,,,,,,,,,2:49.01,,,,,
Maxime Grivel,,,,2:00.25,2:00.92,,,,,,,,,,
Solomon Hagos,,,,,,,,,,,,2:06.95,,,
Sandro Müller,1:59.50,1:59.60,1:59.95,2:00.22,2:00.19,,,,,,,2:03.18,,,
Raphael Ummel,,,,,,,,2:07.02,2:08.07,,,,,,
Ruben Steiner,,,,,2:12.18,,,,,,,,,,
Gabriel Egg,,,2:16.45,,2:27.19,,,,,,,,,,
Yannick Tschanz,,,,,,,,2:23.02,2:18.38,,,,,,
Steven Malischke,,,,,,2:12.79,2:04.14,1:59.08,1:59.56,1:56.40,1:58.99,,,,
Roman Renner,,,,,,,,,,,,2:02.94,1:57.92,1:56.39,
Sven Müller,,,,,,2:23.40,,,,,,,,,
Ruben Leu,,,,,,,,,,,,,,2:44.68,
Felix Studer,,,,,,,,,,,,1:54.50,,,
Marco Senti,,,,2:04.60,,,2:01.95,,,,,,,,
Hanibal Desale,,,,,,,,,,,,,,,2:25.95
David Bigger,2:11.56,,,,,,,,,,,,,,
Florian Nuoffer,,,,,,,,,,,,,,,2:21.84
Andreas Elliker,2:02.19,2:01.40,1:59.03,1:57.20,1:57.67,1:58.87,2:01.08,2:06.06,2:02.28,2:06.59,,,,,
Bastian Suter,,,,,2:17.64,,2:17.17,,,,,,,,
Joel Indlekofer,,,,,,,,,,,,,2:06.70,1:58.43,1:56.70
Élie Meyer,,,,,,,,,,,,,,,2:12.69
Remo Gächter,,2:06.87,2:09.93,,,,,,,,,,,,
Andreas Hischier,,,,,,,,,,,,2:04.41,,,
Ismail Belhaou,,,,,,2:15.07,,,,,,,,,
Sandro Ackermann,,,2:22.74,,,,,,,,,,,,
Fabien Kaiser,,,,,,,,,,,,,,2:02.36,
Manuel Amrein,,,,,,,,,,,2:06.26,2:02.96,2:01.40,,
Fabian Wyttenbach,,2:13.51,,,,,,,,,,,,,
Michael Geissbühler,1:52.70,1:51.59,1:52.28,1:50.77,1:50.91,1:52.63,1:52.26,1:53.53,,,,,,,
Simon Breitenberger,1:59.72,1:55.08,2:05.56,,,,,,,,,,,,
Reto Simeon,,,,,,,,,,2:37.59,2:29.42,2:34.09,2:38.40,,
Jacopo Pintonello,,,,,,,,,,,,,,,2:17.54
Damiano Salvini,,,2:14.53,,,,,,,,,,,,
Gaetano Romagnolo,,,,,,3:43.86,,,,,,,,,
Mahdi Soukli,,,,,,2:45.66,,,,,,,,,
André Nussbaumer,,,,,,2:14.09,2:14.44,2:15.66,,2:21.29,,,,,
Fabian Kistler,,,,,,,,,,,2:27.79,2:24.80,2:21.36,,
Christian Frey,,,,,,,2:22.20,,,,,,,,
Janis Gächter,,,,,,,,2:05.12,2:02.35,1:58.10,,,,1:55.29,
Daryl Junod,,,,,,,2:25.73,,,,,,,,
Marco Wenger,,,,,,,,,2:21.77,,2:27.27,2:29.34,,2:26.99,
Simon Wüthrich,,2:09.28,,,,,,,,,,,,,
Marco Steybe,,,,,2:02.56,1:58.11,1:56.67,,,,,,,,
Samuel Jost,2:07.67,1:59.53,2:08.40,2:00.02,,2:00.42,,1:58.94,1:59.19,1:56.74,,2:01.51,,,
Patrick Meier,2:03.33,2:03.76,2:00.22,,1:56.42,1:57.28,2:10.48,,,,,,,,
Lorenzo Vella,,,,,,,,,,,2:10.59,,,,
Christian Mathis,,,,,,,,,,,,,,,2:13.24
Michael Bucher,,,2:06.42,,,,,,,,,,,,
Fabian Trummer,,,,,,,,,,2:13.24,2:17.62,,2:08.36,,
Samuel Gammenthaler,,2:02.04,1:58.29,1:54.93,1:56.87,1:56.25,1:55.44,,,,,,,,
Michael Marty,2:45.88,2:31.86,2:20.74,2:15.26,2:22.34,,,,,,,,,,
Ismaël Christen,,1:59.92,2:00.20,,,,,,,,,,,,
Raphael Gassmann,,,,,,3:00.30,,,,,,,,,
Pierre-André Ramuz,,,,,2:04.05,,,,,,,,,,
Alain Balleret,,,1:54.18,1:52.77,1:53.92,1:55.56,,,,,,,,,
Patrik Gentsch,1:55.57,1:52.70,,,,,,,,,,,,,
Claudio Flück,2:08.27,2:03.80,,,,,,,,,,,,,
Jonathan Ruchti,,,,,,,,,,,,,,,2:02.36
Dario Kluser,,,,,,,,,,,,,,2:12.00,
Christopher Gmür,2:01.96,2:00.63,2:02.94,,,,,,,,,,,,
Remo Stöckli,,,,,,,,2:15.51,,,,,,,
Leonardo Nannini,,,,,2:18.37,,,,,,,,,,
Thomas Umbach,,,,,,2:21.18,2:17.84,2:22.99,,,,,,,
Christian Lenk,1:51.51,,,,,,,,,,,,,,
Pascal Ungersböck,,,,,2:04.21,,2:00.03,,,,,,,,
Johannes Wagner,,,,,,,,1:56.92,,,,,,,
Brian Burg,,,,,2:09.02,,,,,,,,,,
Simon Buschor,,,,,,,,,,2:58.16,,,,,
Michael Küng,2:09.47,,,,,,,,,,2:17.45,,,,
Philippe Udriot,,,,,,,2:03.52,1:56.70,1:55.37,2:02.45,,1:57.82,,,
Balz Mettler,,,,,,,,2:11.18,,,,,,,
Max Henrotin,,,,,,,,,,,,,2:07.65,2:01.45,1:58.13
Dario Meier,,,,,,,,2:56.07,,,,,,,
Jonas Schöpfer,,,,,,,1:56.20,1:52.27,1:50.41,1:50.38,1:49.41,1:48.51,1:48.88,1:48.07,1:47.63
Lorenz Meuli,,2:00.13,2:01.53,,,,,,,,,,,,
Sébastien Ristori,,,,,,,,,,,,,2:21.68,2:17.43,2:09.69
Yann Schlegel,,,2:11.28,2:11.49,2:11.69,,,2:13.18,,,,,,,
Armin Flückiger,,,2:19.37,2:07.44,2:05.56,2:05.05,2:05.26,,2:03.47,,,,,,
Matthyas Kurt,,,,,,,,,,,,,2:37.75,2:45.74,2:41.59
Sebastian Trachsel,,,,,,,2:15.45,,,,,,,,
Maxime Staudenmann,,,,,,,,,,,,2:08.67,2:05.05,2:00.79,
Robert Adarraga,,,,,,,,,,,,2:12.65,2:15.15,,
Kurt Gasser,,,,,,,2:44.72,2:56.25,3:08.06,,,,,,
Tesfay Misgun,,,,,,,,,,,,,2:00.19,2:04.62,
Jonathan Kalberer,,,,,,,,,,,,,2:06.22,,
Cyprian Jimènez,,2:16.63,,,,,,,,,,,,,
Roman Vögeli,,,,,,,2:08.70,2:04.35,2:11.31,2:04.06,1:59.69,1:59.16,1:57.51,2:01.79,2:01.70
Richard Greiner,,2:00.78,,,,,,,,,,,,,
Jonas Duss,,,,,,,,,,,,,2:08.20,2:01.81,
Joel von Fellenberg,,,,,,,,,,,,,2:23.39,,
Stefano Battaglia,1:57.00,1:56.15,1:54.04,1:51.74,1:53.42,1:54.40,1:58.28,,,,,,,,
Adrian Stucki,2:05.29,2:02.92,,,,,,,,,,,,,
Yannick Jäger,,,2:01.55,1:58.71,,,,,,,,,,,
Sélim Niederberger,,,,,,,,,,,,2:18.07,,,
Ramon Huber,,,,,,2:23.28,,,,,1:55.13,1:54.42,1:54.54,,
Romain Juillerat,,,,,,,2:08.81,2:05.33,2:05.83,2:02.55,,,,,
Jannik Jordi,,,,,,,,,,,,,,,2:05.71
Alain Croisier,,,2:06.56,,,,1:55.96,1:55.86,1:55.46,1:57.15,1:55.96,1:54.96,1:54.48,1:56.26,1:56.02
Alfaba Bah,1:55.52,1:56.12,1:59.29,1:57.59,,,,,,,,,,,
Michel Houlmann,,,,,,,,,,3:10.83,,,,,
Tobija Herter,,,,,,,,,2:35.80,,,,,,
Jannick Kalberer,,,,,,,,,,,3:16.82,,,,
Ryan Wyss,,,,,,,,2:07.64,1:56.65,1:57.06,,,,,
Florian Cibotto,,,2:07.42,2:04.23,2:00.54,2:01.48,,,,,,,,,
Noah Weibel,,,,,,,,,,,,,,2:28.14,2:28.90
Roger Kliem,2:01.85,2:02.86,,,,,,,,,,,,,
Peter Allemann,,2:12.32,,,,,,,,,,,,,
Ilias Hernandez,,,,,,,1:58.56,1:55.82,1:54.76,1:55.66,1:54.91,1:56.79,1:54.13,,
Jeremy Ruiz,,,,,,,,,,,,,2:34.40,,
Marcel Friederich,,,,,,3:34.74,,,,,,,,,
Alexis Faucheur,,,,,,,,,,,,,2:00.63,1:59.28,
Marco Scalfaro,,,,,,,,,,,,,,2:23.46,
Alex Verdone,,,,,,,,,2:22.37,,2:10.08,,,,
Yann Billeter,,,,,,,,,,,,,,1:59.86,1:58.13
Peter Gebhardt,2:42.68,2:36.85,,,,,,,,,,,,,
Ramon Schweizer,,,,2:04.58,2:04.09,2:02.83,,2:03.96,2:03.34,2:02.55,1:59.53,2:00.56,2:00.47,,
Nicolas Repond,1:54.36,1:53.61,1:52.36,1:51.55,,,,,,,,,,,
Pascal Bader,2:04.22,2:02.81,,,,,,,,,,,,,
Jonas Raess,,,,,,,,,,1:56.62,1:54.23,1:53.01,,,
Tsegay Weldekidan,,,,,,,,,,,,,,2:16.54,
Nils Hinden,,,,,,,,,,,,,2:01.74,2:03.85,2:02.90
Jonathan Hofer,,,,,,,,,,,,,,2:00.99,2:00.48
Noah Berger,,,,,,,,,2:21.70,,,,,,
Philipp Renner,,,,,,,,,,,,,,2:05.63,
Jaurès Pellaz,,,,,,,,,,2:14.96,2:06.19,2:03.02,,,
Fabian Stalder,,,,,,,,,,,,,,,2:19.93
Daniel Leiser,2:10.84,,,,,,,,,,,,,,
Michael Heyer,2:02.13,1:59.23,1:58.05,1:58.94,1:56.06,1:55.31,1:57.65,,,,,,,,
Florian Kalt,,,,,,,,,,,,,,,2:07.08
Robert Stuber,2:17.95,2:13.86,2:14.39,2:16.06,,,,,,,,,,,
Lukas Kauflin,,,,,,,,,,,1:57.44,1:57.07,1:56.52,1:49.78,1:53.40
Daniel Schöni,2:18.67,2:22.58,,,,,,,,,,,,,
Davy Desgalier,2:09.56,2:02.97,1:58.18,1:56.57,1:57.07,,1:59.99,,,,,,,,
Marnix Engels,,,1:55.79,,,,,,,,,,,,
Nick Leuenberger,,,,,,,2:16.28,,,,,,,,
Werner Schmid,,,,,2:33.50,,,,,,,,,,
Markus Keiser,,,2:00.20,,,,,,,,,,,,
Lukas Oehen,,,,,,,,,,1:58.57,,,,,
Candide Gex-Fabry,,,,,,,,,,,,,,,2:12.57
Luca Bass,,,,,,,,2:17.55,2:06.73,2:05.79,2:02.38,1:59.69,,2:02.23,2:00.85
Sven Profichet,,,,,,,,,,,,,2:10.98,,
Jonas Schwegler,2:03.23,2:01.28,,,,,,,,,,,,,
